Task 225/1800: --problem pollu --model GELU-scaled --profile fast --seed 125 --pretraining derivmatch --training shooting
Logging to /home/txenakis/projects/BVPsolver/logs/run_main_23493023_225.log
┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=GELU-scaled width=40 d=20 tlen=50 profile=fast seed=125  solver=Rodas5  N=4940
  derivmatch lr=0.01 iter=510/10200 loss=6.648
  derivmatch lr=0.01 iter=1020/10200 loss=6.539
  derivmatch lr=0.01 iter=1530/10200 loss=6.267
  derivmatch lr=0.01 iter=2040/10200 loss=5.071
  derivmatch lr=0.01 iter=2550/10200 loss=4.23
  derivmatch lr=0.01 iter=3060/10200 loss=4.155
  derivmatch lr=0.01 iter=3570/10200 loss=3.093
  derivmatch lr=0.01 iter=4080/10200 loss=3.238
  derivmatch lr=0.01 iter=4590/10200 loss=3.37
  derivmatch lr=0.01 iter=5100/10200 loss=2.566
  derivmatch lr=0.01 iter=5610/10200 loss=2.684
  derivmatch lr=0.01 iter=6120/10200 loss=2.18
  derivmatch lr=0.01 iter=6630/10200 loss=1.897
  derivmatch lr=0.01 iter=7140/10200 loss=1.828
  derivmatch lr=0.01 iter=7650/10200 loss=1.703
  derivmatch lr=0.01 iter=8160/10200 loss=1.269
  derivmatch lr=0.01 iter=8670/10200 loss=1.461
  derivmatch lr=0.01 iter=9180/10200 loss=1.656
  derivmatch lr=0.01 iter=9690/10200 loss=1.56
  derivmatch lr=0.01 iter=10200/10200 loss=1.228
  derivmatch lr=0.01 iter=10200/10200 loss=0.9163
  derivmatch lr=0.003 iter=375/7500 loss=0.6421
  derivmatch lr=0.003 iter=750/7500 loss=0.5962
  derivmatch lr=0.003 iter=1125/7500 loss=0.6536
  derivmatch lr=0.003 iter=1500/7500 loss=0.6816
  derivmatch lr=0.003 iter=1875/7500 loss=0.7
  derivmatch lr=0.003 iter=2250/7500 loss=0.5136
  derivmatch lr=0.003 iter=2625/7500 loss=0.5242
  derivmatch lr=0.003 iter=3000/7500 loss=0.5881
  derivmatch lr=0.003 iter=3375/7500 loss=0.5194
  derivmatch lr=0.003 iter=3750/7500 loss=0.5291
  derivmatch lr=0.003 iter=4125/7500 loss=0.5133
  derivmatch lr=0.003 iter=4500/7500 loss=0.4738
  derivmatch lr=0.003 iter=4875/7500 loss=0.5124
  derivmatch lr=0.003 iter=5250/7500 loss=0.6765
  derivmatch lr=0.003 iter=5625/7500 loss=0.5177
  derivmatch lr=0.003 iter=6000/7500 loss=0.554
  derivmatch lr=0.003 iter=6375/7500 loss=0.446
  derivmatch lr=0.003 iter=6750/7500 loss=0.4199
  derivmatch lr=0.003 iter=7125/7500 loss=0.4508
  derivmatch lr=0.003 iter=7500/7500 loss=0.4698
  derivmatch lr=0.003 iter=7500/7500 loss=0.3962
  derivmatch lr=0.001 iter=375/7500 loss=0.3692
  derivmatch lr=0.001 iter=750/7500 loss=0.3542
  derivmatch lr=0.001 iter=1125/7500 loss=0.3517
  derivmatch lr=0.001 iter=1500/7500 loss=0.3443
  derivmatch lr=0.001 iter=1875/7500 loss=0.3454
  derivmatch lr=0.001 iter=2250/7500 loss=0.3722
  derivmatch lr=0.001 iter=2625/7500 loss=0.343
  derivmatch lr=0.001 iter=3000/7500 loss=0.3383
  derivmatch lr=0.001 iter=3375/7500 loss=0.3679
  derivmatch lr=0.001 iter=3750/7500 loss=0.3463
  derivmatch lr=0.001 iter=4125/7500 loss=0.3336
  derivmatch lr=0.001 iter=4500/7500 loss=0.3327
  derivmatch lr=0.001 iter=4875/7500 loss=0.3319
  derivmatch lr=0.001 iter=5250/7500 loss=0.3602
  derivmatch lr=0.001 iter=5625/7500 loss=0.386
  derivmatch lr=0.001 iter=6000/7500 loss=0.334
  derivmatch lr=0.001 iter=6375/7500 loss=0.3243
  derivmatch lr=0.001 iter=6750/7500 loss=0.3221
  derivmatch lr=0.001 iter=7125/7500 loss=0.3246
  derivmatch lr=0.001 iter=7500/7500 loss=0.328
  derivmatch lr=0.001 iter=7500/7500 loss=0.3135
