┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=stiff width=32 d=20 tlen=50 profile=fast seed=114  solver=Rodas5  N=4744
  derivmatch lr=0.01 iter=510/10200 loss=0.04555
  derivmatch lr=0.01 iter=1020/10200 loss=0.01518
  derivmatch lr=0.01 iter=1530/10200 loss=0.0229
  derivmatch lr=0.01 iter=2040/10200 loss=0.006269
  derivmatch lr=0.01 iter=2550/10200 loss=0.03559
  derivmatch lr=0.01 iter=3060/10200 loss=0.004602
  derivmatch lr=0.01 iter=3570/10200 loss=0.00267
  derivmatch lr=0.01 iter=4080/10200 loss=0.00273
  derivmatch lr=0.01 iter=4590/10200 loss=0.002219
  derivmatch lr=0.01 iter=5100/10200 loss=0.001782
  derivmatch lr=0.01 iter=5610/10200 loss=0.002228
  derivmatch lr=0.01 iter=6120/10200 loss=0.001714
  derivmatch lr=0.01 iter=6630/10200 loss=0.0012
  derivmatch lr=0.01 iter=7140/10200 loss=0.00151
  derivmatch lr=0.01 iter=7650/10200 loss=0.0011
  derivmatch lr=0.01 iter=8160/10200 loss=0.01217
  derivmatch lr=0.01 iter=8670/10200 loss=0.002717
  derivmatch lr=0.01 iter=9180/10200 loss=0.001854
  derivmatch lr=0.01 iter=9690/10200 loss=0.001594
  derivmatch lr=0.01 iter=10200/10200 loss=0.001453
  derivmatch lr=0.01 iter=10200/10200 loss=0.0008182
  derivmatch lr=0.003 iter=375/7500 loss=0.0005496
  derivmatch lr=0.003 iter=750/7500 loss=0.0003706
  derivmatch lr=0.003 iter=1125/7500 loss=0.0003294
  derivmatch lr=0.003 iter=1500/7500 loss=0.0001783
  derivmatch lr=0.003 iter=1875/7500 loss=0.0001397
  derivmatch lr=0.003 iter=2250/7500 loss=0.0001454
  derivmatch lr=0.003 iter=2625/7500 loss=9.583e-5
  derivmatch lr=0.003 iter=3000/7500 loss=0.0001441
  derivmatch lr=0.003 iter=3375/7500 loss=0.0002004
  derivmatch lr=0.003 iter=3750/7500 loss=7.963e-5
  derivmatch lr=0.003 iter=4125/7500 loss=5.499e-5
  derivmatch lr=0.003 iter=4500/7500 loss=0.0002568
  derivmatch lr=0.003 iter=4875/7500 loss=7.747e-5
  derivmatch lr=0.003 iter=5250/7500 loss=0.0002833
  derivmatch lr=0.003 iter=5625/7500 loss=9.056e-5
  derivmatch lr=0.003 iter=6000/7500 loss=4.415e-5
  derivmatch lr=0.003 iter=6375/7500 loss=0.0002446
  derivmatch lr=0.003 iter=6750/7500 loss=8.185e-5
  derivmatch lr=0.003 iter=7125/7500 loss=0.0001581
  derivmatch lr=0.003 iter=7500/7500 loss=0.0004051
  derivmatch lr=0.003 iter=7500/7500 loss=3.272e-5
  derivmatch lr=0.001 iter=375/7500 loss=2.759e-5
  derivmatch lr=0.001 iter=750/7500 loss=3.304e-5
  derivmatch lr=0.001 iter=1125/7500 loss=2.619e-5
  derivmatch lr=0.001 iter=1500/7500 loss=2.365e-5
  derivmatch lr=0.001 iter=1875/7500 loss=2.322e-5
  derivmatch lr=0.001 iter=2250/7500 loss=2.35e-5
  derivmatch lr=0.001 iter=2625/7500 loss=2.191e-5
  derivmatch lr=0.001 iter=3000/7500 loss=3.99e-5
  derivmatch lr=0.001 iter=3375/7500 loss=3.796e-5
  derivmatch lr=0.001 iter=3750/7500 loss=2.9e-5
  derivmatch lr=0.001 iter=4125/7500 loss=2.609e-5
  derivmatch lr=0.001 iter=4500/7500 loss=0.0001199
  derivmatch lr=0.001 iter=4875/7500 loss=2.248e-5
  derivmatch lr=0.001 iter=5250/7500 loss=1.824e-5
  derivmatch lr=0.001 iter=5625/7500 loss=5.624e-5
  derivmatch lr=0.001 iter=6000/7500 loss=1.966e-5
  derivmatch lr=0.001 iter=6375/7500 loss=2.749e-5
  derivmatch lr=0.001 iter=6750/7500 loss=1.726e-5
  derivmatch lr=0.001 iter=7125/7500 loss=1.602e-5
  derivmatch lr=0.001 iter=7500/7500 loss=3.428e-5
  derivmatch lr=0.001 iter=7500/7500 loss=1.506e-5
  derivmatch lr=0.0003 iter=240/4800 loss=1.502e-5
  derivmatch lr=0.0003 iter=480/4800 loss=1.494e-5
  derivmatch lr=0.0003 iter=720/4800 loss=1.485e-5
  derivmatch lr=0.0003 iter=960/4800 loss=1.473e-5
  derivmatch lr=0.0003 iter=1200/4800 loss=1.459e-5
  derivmatch lr=0.0003 iter=1440/4800 loss=1.444e-5
  derivmatch lr=0.0003 iter=1680/4800 loss=1.428e-5
  derivmatch lr=0.0003 iter=1920/4800 loss=1.41e-5
  derivmatch lr=0.0003 iter=2160/4800 loss=1.396e-5
  derivmatch lr=0.0003 iter=2400/4800 loss=1.374e-5
  derivmatch lr=0.0003 iter=2640/4800 loss=1.355e-5
  derivmatch lr=0.0003 iter=2880/4800 loss=1.811e-5
  derivmatch lr=0.0003 iter=3120/4800 loss=1.33e-5
  derivmatch lr=0.0003 iter=3360/4800 loss=1.321e-5
  derivmatch lr=0.0003 iter=3600/4800 loss=1.286e-5
  derivmatch lr=0.0003 iter=3840/4800 loss=1.345e-5
  derivmatch lr=0.0003 iter=4080/4800 loss=1.351e-5
  derivmatch lr=0.0003 iter=4320/4800 loss=1.245e-5
  derivmatch lr=0.0003 iter=4560/4800 loss=1.23e-5
  derivmatch lr=0.0003 iter=4800/4800 loss=1.776e-5
  derivmatch lr=0.0003 iter=4800/4800 loss=1.211e-5
derivative matching [44s]  fitloss=1.21e-5
  [derivative matching]  nrmse=0.05177  l2=0.004826
