Task 139/1800: --problem pollu --model mlp --profile fast --seed 139 --pretraining derivmatch --training shooting
Logging to /home/txenakis/projects/BVPsolver/logs/run_main_23493023_139.log
┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=mlp width=40 d=20 tlen=50 profile=fast seed=139  solver=Rodas5  N=4940
  derivmatch lr=0.01 iter=510/10200 loss=273.6
  derivmatch lr=0.01 iter=1020/10200 loss=274.2
  derivmatch lr=0.01 iter=1530/10200 loss=283.3
  derivmatch lr=0.01 iter=2040/10200 loss=266.5
  derivmatch lr=0.01 iter=2550/10200 loss=316.0
  derivmatch lr=0.01 iter=3060/10200 loss=311.8
  derivmatch lr=0.01 iter=3570/10200 loss=332.8
  derivmatch lr=0.01 iter=4080/10200 loss=301.9
  derivmatch lr=0.01 iter=4590/10200 loss=330.4
  derivmatch lr=0.01 iter=5100/10200 loss=317.8
  derivmatch lr=0.01 iter=5610/10200 loss=292.4
  derivmatch lr=0.01 iter=6120/10200 loss=285.1
  derivmatch lr=0.01 iter=6630/10200 loss=332.9
  derivmatch lr=0.01 iter=7140/10200 loss=309.6
  derivmatch lr=0.01 iter=7650/10200 loss=287.4
  derivmatch lr=0.01 iter=8160/10200 loss=304.3
  derivmatch lr=0.01 iter=8670/10200 loss=340.5
  derivmatch lr=0.01 iter=9180/10200 loss=354.3
  derivmatch lr=0.01 iter=9690/10200 loss=354.5
  derivmatch lr=0.01 iter=10200/10200 loss=278.4
  derivmatch lr=0.01 iter=10200/10200 loss=226.3
  derivmatch lr=0.003 iter=375/7500 loss=231.6
  derivmatch lr=0.003 iter=750/7500 loss=246.6
  derivmatch lr=0.003 iter=1125/7500 loss=248.4
  derivmatch lr=0.003 iter=1500/7500 loss=221.3
  derivmatch lr=0.003 iter=1875/7500 loss=248.7
  derivmatch lr=0.003 iter=2250/7500 loss=271.4
  derivmatch lr=0.003 iter=2625/7500 loss=314.2
  derivmatch lr=0.003 iter=3000/7500 loss=266.9
  derivmatch lr=0.003 iter=3375/7500 loss=250.5
  derivmatch lr=0.003 iter=3750/7500 loss=261.5
  derivmatch lr=0.003 iter=4125/7500 loss=268.5
  derivmatch lr=0.003 iter=4500/7500 loss=265.3
  derivmatch lr=0.003 iter=4875/7500 loss=273.9
  derivmatch lr=0.003 iter=5250/7500 loss=286.8
  derivmatch lr=0.003 iter=5625/7500 loss=265.9
  derivmatch lr=0.003 iter=6000/7500 loss=254.7
  derivmatch lr=0.003 iter=6375/7500 loss=276.0
  derivmatch lr=0.003 iter=6750/7500 loss=244.1
  derivmatch lr=0.003 iter=7125/7500 loss=250.6
  derivmatch lr=0.003 iter=7500/7500 loss=255.1
  derivmatch lr=0.003 iter=7500/7500 loss=193.7
  derivmatch lr=0.001 iter=375/7500 loss=185.6
  derivmatch lr=0.001 iter=750/7500 loss=181.2
  derivmatch lr=0.001 iter=1125/7500 loss=178.3
  derivmatch lr=0.001 iter=1500/7500 loss=200.9
  derivmatch lr=0.001 iter=1875/7500 loss=209.3
  derivmatch lr=0.001 iter=2250/7500 loss=196.0
  derivmatch lr=0.001 iter=2625/7500 loss=176.8
  derivmatch lr=0.001 iter=3000/7500 loss=225.4
  derivmatch lr=0.001 iter=3375/7500 loss=214.3
  derivmatch lr=0.001 iter=3750/7500 loss=187.7
  derivmatch lr=0.001 iter=4125/7500 loss=221.7
  derivmatch lr=0.001 iter=4500/7500 loss=212.4
  derivmatch lr=0.001 iter=4875/7500 loss=210.9
  derivmatch lr=0.001 iter=5250/7500 loss=200.1
  derivmatch lr=0.001 iter=5625/7500 loss=218.6
  derivmatch lr=0.001 iter=6000/7500 loss=201.5
  derivmatch lr=0.001 iter=6375/7500 loss=193.5
  derivmatch lr=0.001 iter=6750/7500 loss=212.3
  derivmatch lr=0.001 iter=7125/7500 loss=212.6
  derivmatch lr=0.001 iter=7500/7500 loss=206.8
  derivmatch lr=0.001 iter=7500/7500 loss=162.1
  derivmatch lr=0.0003 iter=240/4800 loss=156.4
  derivmatch lr=0.0003 iter=480/4800 loss=167.9
  derivmatch lr=0.0003 iter=720/4800 loss=166.3
  derivmatch lr=0.0003 iter=960/4800 loss=163.9
  derivmatch lr=0.0003 iter=1200/4800 loss=189.1
  derivmatch lr=0.0003 iter=1440/4800 loss=205.2
  derivmatch lr=0.0003 iter=1680/4800 loss=195.2
  derivmatch lr=0.0003 iter=1920/4800 loss=193.3
  derivmatch lr=0.0003 iter=2160/4800 loss=181.4
  derivmatch lr=0.0003 iter=2400/4800 loss=187.8
  derivmatch lr=0.0003 iter=2640/4800 loss=198.3
  derivmatch lr=0.0003 iter=2880/4800 loss=184.3
  derivmatch lr=0.0003 iter=3120/4800 loss=180.4
  derivmatch lr=0.0003 iter=3360/4800 loss=196.7
  derivmatch lr=0.0003 iter=3600/4800 loss=188.9
  derivmatch lr=0.0003 iter=3840/4800 loss=176.4
  derivmatch lr=0.0003 iter=4080/4800 loss=171.8
  derivmatch lr=0.0003 iter=4320/4800 loss=199.1
  derivmatch lr=0.0003 iter=4560/4800 loss=179.7
  derivmatch lr=0.0003 iter=4800/4800 loss=197.0
  derivmatch lr=0.0003 iter=4800/4800 loss=144.9
derivative matching [33s]  fitloss=145.0
  [derivative matching]  nrmse=3.028e17  l2=153.9
  shooting iter=50/1000 loss=6.472e15
