┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=mlp width=40 d=20 tlen=50 profile=fast seed=27  solver=Rodas5  N=4940
  derivmatch lr=0.01 iter=510/10200 loss=286.5
  derivmatch lr=0.01 iter=1020/10200 loss=279.2
  derivmatch lr=0.01 iter=1530/10200 loss=305.4
  derivmatch lr=0.01 iter=2040/10200 loss=296.6
  derivmatch lr=0.01 iter=2550/10200 loss=305.7
  derivmatch lr=0.01 iter=3060/10200 loss=289.3
  derivmatch lr=0.01 iter=3570/10200 loss=283.4
  derivmatch lr=0.01 iter=4080/10200 loss=284.0
  derivmatch lr=0.01 iter=4590/10200 loss=341.0
  derivmatch lr=0.01 iter=5100/10200 loss=286.2
  derivmatch lr=0.01 iter=5610/10200 loss=317.9
  derivmatch lr=0.01 iter=6120/10200 loss=316.7
  derivmatch lr=0.01 iter=6630/10200 loss=327.1
  derivmatch lr=0.01 iter=7140/10200 loss=337.0
  derivmatch lr=0.01 iter=7650/10200 loss=318.3
  derivmatch lr=0.01 iter=8160/10200 loss=336.8
  derivmatch lr=0.01 iter=8670/10200 loss=308.9
  derivmatch lr=0.01 iter=9180/10200 loss=355.3
  derivmatch lr=0.01 iter=9690/10200 loss=294.5
  derivmatch lr=0.01 iter=10200/10200 loss=284.6
  derivmatch lr=0.01 iter=10200/10200 loss=193.3
  derivmatch lr=0.003 iter=375/7500 loss=218.5
  derivmatch lr=0.003 iter=750/7500 loss=246.7
  derivmatch lr=0.003 iter=1125/7500 loss=240.9
  derivmatch lr=0.003 iter=1500/7500 loss=240.7
  derivmatch lr=0.003 iter=1875/7500 loss=238.8
  derivmatch lr=0.003 iter=2250/7500 loss=309.3
  derivmatch lr=0.003 iter=2625/7500 loss=272.8
  derivmatch lr=0.003 iter=3000/7500 loss=240.5
  derivmatch lr=0.003 iter=3375/7500 loss=253.0
  derivmatch lr=0.003 iter=3750/7500 loss=258.8
  derivmatch lr=0.003 iter=4125/7500 loss=245.0
  derivmatch lr=0.003 iter=4500/7500 loss=246.8
  derivmatch lr=0.003 iter=4875/7500 loss=241.6
  derivmatch lr=0.003 iter=5250/7500 loss=265.6
  derivmatch lr=0.003 iter=5625/7500 loss=290.0
  derivmatch lr=0.003 iter=6000/7500 loss=266.5
  derivmatch lr=0.003 iter=6375/7500 loss=280.9
  derivmatch lr=0.003 iter=6750/7500 loss=270.7
  derivmatch lr=0.003 iter=7125/7500 loss=254.7
  derivmatch lr=0.003 iter=7500/7500 loss=255.3
  derivmatch lr=0.003 iter=7500/7500 loss=193.3
  derivmatch lr=0.001 iter=375/7500 loss=200.7
  derivmatch lr=0.001 iter=750/7500 loss=213.2
  derivmatch lr=0.001 iter=1125/7500 loss=195.4
  derivmatch lr=0.001 iter=1500/7500 loss=250.5
  derivmatch lr=0.001 iter=1875/7500 loss=229.2
  derivmatch lr=0.001 iter=2250/7500 loss=241.4
  derivmatch lr=0.001 iter=2625/7500 loss=238.4
  derivmatch lr=0.001 iter=3000/7500 loss=229.2
  derivmatch lr=0.001 iter=3375/7500 loss=222.9
  derivmatch lr=0.001 iter=3750/7500 loss=245.1
  derivmatch lr=0.001 iter=4125/7500 loss=235.5
  derivmatch lr=0.001 iter=4500/7500 loss=239.3
  derivmatch lr=0.001 iter=4875/7500 loss=236.8
  derivmatch lr=0.001 iter=5250/7500 loss=230.3
  derivmatch lr=0.001 iter=5625/7500 loss=236.6
  derivmatch lr=0.001 iter=6000/7500 loss=218.0
  derivmatch lr=0.001 iter=6375/7500 loss=225.5
  derivmatch lr=0.001 iter=6750/7500 loss=215.1
  derivmatch lr=0.001 iter=7125/7500 loss=212.6
  derivmatch lr=0.001 iter=7500/7500 loss=227.4
  derivmatch lr=0.001 iter=7500/7500 loss=176.8
  derivmatch lr=0.0003 iter=240/4800 loss=203.2
  derivmatch lr=0.0003 iter=480/4800 loss=183.2
  derivmatch lr=0.0003 iter=720/4800 loss=199.7
  derivmatch lr=0.0003 iter=960/4800 loss=193.1
  derivmatch lr=0.0003 iter=1200/4800 loss=176.1
  derivmatch lr=0.0003 iter=1440/4800 loss=171.4
  derivmatch lr=0.0003 iter=1680/4800 loss=179.6
  derivmatch lr=0.0003 iter=1920/4800 loss=180.1
  derivmatch lr=0.0003 iter=2160/4800 loss=178.2
  derivmatch lr=0.0003 iter=2400/4800 loss=173.1
  derivmatch lr=0.0003 iter=2640/4800 loss=209.8
  derivmatch lr=0.0003 iter=2880/4800 loss=208.0
  derivmatch lr=0.0003 iter=3120/4800 loss=181.0
  derivmatch lr=0.0003 iter=3360/4800 loss=194.8
  derivmatch lr=0.0003 iter=3600/4800 loss=189.4
  derivmatch lr=0.0003 iter=3840/4800 loss=189.4
  derivmatch lr=0.0003 iter=4080/4800 loss=217.4
  derivmatch lr=0.0003 iter=4320/4800 loss=204.9
  derivmatch lr=0.0003 iter=4560/4800 loss=218.9
  derivmatch lr=0.0003 iter=4800/4800 loss=206.1
  derivmatch lr=0.0003 iter=4800/4800 loss=153.2
derivative matching [35s]  fitloss=153.0
  [derivative matching]  nrmse=1.473e17  l2=147.0
  shooting iter=50/1000 loss=1.563e15
