Task 41/360: --problem pollu --model GELU-scaled --profile fast --seed 21 --pretraining derivmatch --training shooting
Logging to /home/txenakis/projects/BVPsolver/logs/run_main_22227913_41.log
┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=GELU-scaled width=40 d=20 tlen=50 profile=fast seed=21  solver=Rodas5  N=4940
  derivmatch lr=0.01 iter=510/10200 loss=7.206
  derivmatch lr=0.01 iter=1020/10200 loss=5.618
  derivmatch lr=0.01 iter=1530/10200 loss=4.849
  derivmatch lr=0.01 iter=2040/10200 loss=3.964
  derivmatch lr=0.01 iter=2550/10200 loss=3.83
  derivmatch lr=0.01 iter=3060/10200 loss=3.458
  derivmatch lr=0.01 iter=3570/10200 loss=3.623
  derivmatch lr=0.01 iter=4080/10200 loss=2.552
  derivmatch lr=0.01 iter=4590/10200 loss=2.319
  derivmatch lr=0.01 iter=5100/10200 loss=2.064
  derivmatch lr=0.01 iter=5610/10200 loss=1.854
  derivmatch lr=0.01 iter=6120/10200 loss=2.19
  derivmatch lr=0.01 iter=6630/10200 loss=2.074
  derivmatch lr=0.01 iter=7140/10200 loss=1.777
  derivmatch lr=0.01 iter=7650/10200 loss=1.382
  derivmatch lr=0.01 iter=8160/10200 loss=2.061
  derivmatch lr=0.01 iter=8670/10200 loss=1.355
  derivmatch lr=0.01 iter=9180/10200 loss=1.502
  derivmatch lr=0.01 iter=9690/10200 loss=1.558
  derivmatch lr=0.01 iter=10200/10200 loss=1.187
  derivmatch lr=0.01 iter=10200/10200 loss=0.8972
  derivmatch lr=0.003 iter=375/7500 loss=0.7322
  derivmatch lr=0.003 iter=750/7500 loss=0.689
  derivmatch lr=0.003 iter=1125/7500 loss=0.6373
  derivmatch lr=0.003 iter=1500/7500 loss=0.6141
  derivmatch lr=0.003 iter=1875/7500 loss=0.5821
  derivmatch lr=0.003 iter=2250/7500 loss=0.6189
  derivmatch lr=0.003 iter=2625/7500 loss=0.5677
  derivmatch lr=0.003 iter=3000/7500 loss=0.5853
  derivmatch lr=0.003 iter=3375/7500 loss=0.5204
  derivmatch lr=0.003 iter=3750/7500 loss=0.5798
  derivmatch lr=0.003 iter=4125/7500 loss=0.4839
  derivmatch lr=0.003 iter=4500/7500 loss=0.5598
  derivmatch lr=0.003 iter=4875/7500 loss=0.6277
  derivmatch lr=0.003 iter=5250/7500 loss=0.5701
  derivmatch lr=0.003 iter=5625/7500 loss=0.5844
  derivmatch lr=0.003 iter=6000/7500 loss=0.4921
  derivmatch lr=0.003 iter=6375/7500 loss=0.5595
