┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=GELU-scaled width=40 d=20 tlen=50 profile=fast seed=134  solver=Rodas5  N=4940
  derivmatch lr=0.01 iter=510/10200 loss=7.009
  derivmatch lr=0.01 iter=1020/10200 loss=6.241
  derivmatch lr=0.01 iter=1530/10200 loss=4.141
  derivmatch lr=0.01 iter=2040/10200 loss=4.021
  derivmatch lr=0.01 iter=2550/10200 loss=4.0
  derivmatch lr=0.01 iter=3060/10200 loss=3.882
  derivmatch lr=0.01 iter=3570/10200 loss=3.386
  derivmatch lr=0.01 iter=4080/10200 loss=2.935
  derivmatch lr=0.01 iter=4590/10200 loss=2.519
  derivmatch lr=0.01 iter=5100/10200 loss=2.5
  derivmatch lr=0.01 iter=5610/10200 loss=2.069
  derivmatch lr=0.01 iter=6120/10200 loss=1.822
  derivmatch lr=0.01 iter=6630/10200 loss=1.997
  derivmatch lr=0.01 iter=7140/10200 loss=2.066
  derivmatch lr=0.01 iter=7650/10200 loss=2.181
  derivmatch lr=0.01 iter=8160/10200 loss=1.879
  derivmatch lr=0.01 iter=8670/10200 loss=1.937
  derivmatch lr=0.01 iter=9180/10200 loss=1.654
  derivmatch lr=0.01 iter=9690/10200 loss=1.755
  derivmatch lr=0.01 iter=10200/10200 loss=1.645
  derivmatch lr=0.01 iter=10200/10200 loss=1.032
  derivmatch lr=0.003 iter=375/7500 loss=0.8579
  derivmatch lr=0.003 iter=750/7500 loss=0.7043
  derivmatch lr=0.003 iter=1125/7500 loss=0.6831
  derivmatch lr=0.003 iter=1500/7500 loss=0.8514
  derivmatch lr=0.003 iter=1875/7500 loss=0.5494
  derivmatch lr=0.003 iter=2250/7500 loss=0.7772
  derivmatch lr=0.003 iter=2625/7500 loss=0.7173
  derivmatch lr=0.003 iter=3000/7500 loss=0.5194
  derivmatch lr=0.003 iter=3375/7500 loss=0.6974
  derivmatch lr=0.003 iter=3750/7500 loss=0.5254
  derivmatch lr=0.003 iter=4125/7500 loss=0.7489
  derivmatch lr=0.003 iter=4500/7500 loss=0.6687
  derivmatch lr=0.003 iter=4875/7500 loss=0.5314
  derivmatch lr=0.003 iter=5250/7500 loss=0.5699
  derivmatch lr=0.003 iter=5625/7500 loss=0.5163
  derivmatch lr=0.003 iter=6000/7500 loss=0.6362
  derivmatch lr=0.003 iter=6375/7500 loss=0.5372
  derivmatch lr=0.003 iter=6750/7500 loss=0.4494
  derivmatch lr=0.003 iter=7125/7500 loss=0.6264
  derivmatch lr=0.003 iter=7500/7500 loss=0.4953
  derivmatch lr=0.003 iter=7500/7500 loss=0.4038
  derivmatch lr=0.001 iter=375/7500 loss=0.3703
  derivmatch lr=0.001 iter=750/7500 loss=0.3656
  derivmatch lr=0.001 iter=1125/7500 loss=0.3513
  derivmatch lr=0.001 iter=1500/7500 loss=0.36
  derivmatch lr=0.001 iter=1875/7500 loss=0.3479
  derivmatch lr=0.001 iter=2250/7500 loss=0.3474
  derivmatch lr=0.001 iter=2625/7500 loss=0.343
  derivmatch lr=0.001 iter=3000/7500 loss=0.3879
  derivmatch lr=0.001 iter=3375/7500 loss=0.3582
  derivmatch lr=0.001 iter=3750/7500 loss=0.3843
  derivmatch lr=0.001 iter=4125/7500 loss=0.3622
  derivmatch lr=0.001 iter=4500/7500 loss=0.3456
  derivmatch lr=0.001 iter=4875/7500 loss=0.3288
  derivmatch lr=0.001 iter=5250/7500 loss=0.3625
  derivmatch lr=0.001 iter=5625/7500 loss=0.3272
  derivmatch lr=0.001 iter=6000/7500 loss=0.3327
  derivmatch lr=0.001 iter=6375/7500 loss=0.3275
  derivmatch lr=0.001 iter=6750/7500 loss=0.3413
  derivmatch lr=0.001 iter=7125/7500 loss=0.3269
  derivmatch lr=0.001 iter=7500/7500 loss=0.3535
  derivmatch lr=0.001 iter=7500/7500 loss=0.3182
  derivmatch lr=0.0003 iter=240/4800 loss=0.3157
  derivmatch lr=0.0003 iter=480/4800 loss=0.3153
  derivmatch lr=0.0003 iter=720/4800 loss=0.3148
  derivmatch lr=0.0003 iter=960/4800 loss=0.3139
  derivmatch lr=0.0003 iter=1200/4800 loss=0.314
  derivmatch lr=0.0003 iter=1440/4800 loss=0.3137
  derivmatch lr=0.0003 iter=1680/4800 loss=0.3137
  derivmatch lr=0.0003 iter=1920/4800 loss=0.3128
  derivmatch lr=0.0003 iter=2160/4800 loss=0.3117
  derivmatch lr=0.0003 iter=2400/4800 loss=0.3111
  derivmatch lr=0.0003 iter=2640/4800 loss=0.3085
  derivmatch lr=0.0003 iter=2880/4800 loss=0.3082
  derivmatch lr=0.0003 iter=3120/4800 loss=0.308
  derivmatch lr=0.0003 iter=3360/4800 loss=0.3061
  derivmatch lr=0.0003 iter=3600/4800 loss=0.3075
  derivmatch lr=0.0003 iter=3840/4800 loss=0.3044
  derivmatch lr=0.0003 iter=4080/4800 loss=0.3037
  derivmatch lr=0.0003 iter=4320/4800 loss=0.3023
  derivmatch lr=0.0003 iter=4560/4800 loss=0.3014
  derivmatch lr=0.0003 iter=4800/4800 loss=0.3004
  derivmatch lr=0.0003 iter=4800/4800 loss=0.3
derivative matching [40s]  fitloss=0.3
  [derivative matching]  nrmse=0.4445  l2=0.002556
