┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=mlp width=40 d=20 tlen=50 profile=fast seed=25  solver=Rodas5  N=4940
  derivmatch lr=0.01 iter=510/10200 loss=313.9
  derivmatch lr=0.01 iter=1020/10200 loss=276.0
  derivmatch lr=0.01 iter=1530/10200 loss=272.6
  derivmatch lr=0.01 iter=2040/10200 loss=322.3
  derivmatch lr=0.01 iter=2550/10200 loss=329.3
  derivmatch lr=0.01 iter=3060/10200 loss=365.4
  derivmatch lr=0.01 iter=3570/10200 loss=302.0
  derivmatch lr=0.01 iter=4080/10200 loss=332.9
  derivmatch lr=0.01 iter=4590/10200 loss=318.8
  derivmatch lr=0.01 iter=5100/10200 loss=308.9
  derivmatch lr=0.01 iter=5610/10200 loss=354.9
  derivmatch lr=0.01 iter=6120/10200 loss=353.8
  derivmatch lr=0.01 iter=6630/10200 loss=322.6
  derivmatch lr=0.01 iter=7140/10200 loss=311.4
  derivmatch lr=0.01 iter=7650/10200 loss=336.0
  derivmatch lr=0.01 iter=8160/10200 loss=302.8
  derivmatch lr=0.01 iter=8670/10200 loss=320.0
  derivmatch lr=0.01 iter=9180/10200 loss=326.4
  derivmatch lr=0.01 iter=9690/10200 loss=336.1
  derivmatch lr=0.01 iter=10200/10200 loss=276.3
  derivmatch lr=0.01 iter=10200/10200 loss=234.0
  derivmatch lr=0.003 iter=375/7500 loss=261.0
  derivmatch lr=0.003 iter=750/7500 loss=257.5
  derivmatch lr=0.003 iter=1125/7500 loss=233.0
  derivmatch lr=0.003 iter=1500/7500 loss=254.8
  derivmatch lr=0.003 iter=1875/7500 loss=243.7
  derivmatch lr=0.003 iter=2250/7500 loss=255.6
  derivmatch lr=0.003 iter=2625/7500 loss=246.2
  derivmatch lr=0.003 iter=3000/7500 loss=293.5
  derivmatch lr=0.003 iter=3375/7500 loss=267.7
  derivmatch lr=0.003 iter=3750/7500 loss=258.3
  derivmatch lr=0.003 iter=4125/7500 loss=246.0
  derivmatch lr=0.003 iter=4500/7500 loss=249.1
  derivmatch lr=0.003 iter=4875/7500 loss=251.3
  derivmatch lr=0.003 iter=5250/7500 loss=273.2
  derivmatch lr=0.003 iter=5625/7500 loss=268.1
  derivmatch lr=0.003 iter=6000/7500 loss=273.9
  derivmatch lr=0.003 iter=6375/7500 loss=274.7
  derivmatch lr=0.003 iter=6750/7500 loss=302.6
  derivmatch lr=0.003 iter=7125/7500 loss=260.2
  derivmatch lr=0.003 iter=7500/7500 loss=285.4
  derivmatch lr=0.003 iter=7500/7500 loss=210.7
  derivmatch lr=0.001 iter=375/7500 loss=204.1
  derivmatch lr=0.001 iter=750/7500 loss=208.5
  derivmatch lr=0.001 iter=1125/7500 loss=232.0
  derivmatch lr=0.001 iter=1500/7500 loss=222.3
  derivmatch lr=0.001 iter=1875/7500 loss=218.5
  derivmatch lr=0.001 iter=2250/7500 loss=206.6
  derivmatch lr=0.001 iter=2625/7500 loss=251.3
  derivmatch lr=0.001 iter=3000/7500 loss=224.5
  derivmatch lr=0.001 iter=3375/7500 loss=217.4
  derivmatch lr=0.001 iter=3750/7500 loss=240.9
  derivmatch lr=0.001 iter=4125/7500 loss=226.6
  derivmatch lr=0.001 iter=4500/7500 loss=253.2
  derivmatch lr=0.001 iter=4875/7500 loss=224.4
  derivmatch lr=0.001 iter=5250/7500 loss=236.3
  derivmatch lr=0.001 iter=5625/7500 loss=219.0
  derivmatch lr=0.001 iter=6000/7500 loss=223.1
  derivmatch lr=0.001 iter=6375/7500 loss=230.6
  derivmatch lr=0.001 iter=6750/7500 loss=227.2
  derivmatch lr=0.001 iter=7125/7500 loss=228.3
  derivmatch lr=0.001 iter=7500/7500 loss=222.0
  derivmatch lr=0.001 iter=7500/7500 loss=192.7
  derivmatch lr=0.0003 iter=240/4800 loss=194.5
  derivmatch lr=0.0003 iter=480/4800 loss=177.0
  derivmatch lr=0.0003 iter=720/4800 loss=205.8
  derivmatch lr=0.0003 iter=960/4800 loss=195.2
  derivmatch lr=0.0003 iter=1200/4800 loss=206.0
  derivmatch lr=0.0003 iter=1440/4800 loss=207.7
  derivmatch lr=0.0003 iter=1680/4800 loss=217.1
  derivmatch lr=0.0003 iter=1920/4800 loss=192.7
  derivmatch lr=0.0003 iter=2160/4800 loss=224.4
  derivmatch lr=0.0003 iter=2400/4800 loss=214.6
  derivmatch lr=0.0003 iter=2640/4800 loss=218.4
  derivmatch lr=0.0003 iter=2880/4800 loss=197.8
  derivmatch lr=0.0003 iter=3120/4800 loss=194.5
  derivmatch lr=0.0003 iter=3360/4800 loss=194.6
  derivmatch lr=0.0003 iter=3600/4800 loss=198.0
  derivmatch lr=0.0003 iter=3840/4800 loss=204.0
  derivmatch lr=0.0003 iter=4080/4800 loss=212.4
  derivmatch lr=0.0003 iter=4320/4800 loss=213.6
  derivmatch lr=0.0003 iter=4560/4800 loss=202.0
  derivmatch lr=0.0003 iter=4800/4800 loss=197.3
  derivmatch lr=0.0003 iter=4800/4800 loss=162.0
derivative matching [34s]  fitloss=162.0
  [derivative matching]  nrmse=1.807e17  l2=270.2
  shooting iter=50/1000 loss=2.456e14
  shooting iter=100/1000 loss=1.89e15
