Task 136/1800: --problem pollu --model mlp --profile fast --seed 136 --pretraining derivmatch --training shooting
Logging to /home/txenakis/projects/BVPsolver/logs/run_main_23493023_136.log
┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=mlp width=40 d=20 tlen=50 profile=fast seed=136  solver=Rodas5  N=4940
  derivmatch lr=0.01 iter=510/10200 loss=274.9
  derivmatch lr=0.01 iter=1020/10200 loss=285.5
  derivmatch lr=0.01 iter=1530/10200 loss=276.8
  derivmatch lr=0.01 iter=2040/10200 loss=314.2
  derivmatch lr=0.01 iter=2550/10200 loss=263.9
  derivmatch lr=0.01 iter=3060/10200 loss=257.2
  derivmatch lr=0.01 iter=3570/10200 loss=310.4
  derivmatch lr=0.01 iter=4080/10200 loss=300.9
  derivmatch lr=0.01 iter=4590/10200 loss=303.8
  derivmatch lr=0.01 iter=5100/10200 loss=294.0
  derivmatch lr=0.01 iter=5610/10200 loss=320.4
  derivmatch lr=0.01 iter=6120/10200 loss=285.9
  derivmatch lr=0.01 iter=6630/10200 loss=307.8
  derivmatch lr=0.01 iter=7140/10200 loss=316.2
  derivmatch lr=0.01 iter=7650/10200 loss=315.4
  derivmatch lr=0.01 iter=8160/10200 loss=310.5
  derivmatch lr=0.01 iter=8670/10200 loss=322.2
  derivmatch lr=0.01 iter=9180/10200 loss=352.6
  derivmatch lr=0.01 iter=9690/10200 loss=376.1
  derivmatch lr=0.01 iter=10200/10200 loss=366.0
  derivmatch lr=0.01 iter=10200/10200 loss=209.6
  derivmatch lr=0.003 iter=375/7500 loss=219.1
  derivmatch lr=0.003 iter=750/7500 loss=255.1
  derivmatch lr=0.003 iter=1125/7500 loss=246.2
  derivmatch lr=0.003 iter=1500/7500 loss=261.3
  derivmatch lr=0.003 iter=1875/7500 loss=246.6
  derivmatch lr=0.003 iter=2250/7500 loss=258.8
  derivmatch lr=0.003 iter=2625/7500 loss=256.5
  derivmatch lr=0.003 iter=3000/7500 loss=246.9
  derivmatch lr=0.003 iter=3375/7500 loss=263.4
  derivmatch lr=0.003 iter=3750/7500 loss=271.3
  derivmatch lr=0.003 iter=4125/7500 loss=258.6
  derivmatch lr=0.003 iter=4500/7500 loss=240.0
  derivmatch lr=0.003 iter=4875/7500 loss=267.6
  derivmatch lr=0.003 iter=5250/7500 loss=261.7
  derivmatch lr=0.003 iter=5625/7500 loss=259.5
  derivmatch lr=0.003 iter=6000/7500 loss=289.9
  derivmatch lr=0.003 iter=6375/7500 loss=247.5
  derivmatch lr=0.003 iter=6750/7500 loss=245.9
  derivmatch lr=0.003 iter=7125/7500 loss=262.0
  derivmatch lr=0.003 iter=7500/7500 loss=253.9
  derivmatch lr=0.003 iter=7500/7500 loss=186.5
  derivmatch lr=0.001 iter=375/7500 loss=215.5
  derivmatch lr=0.001 iter=750/7500 loss=211.3
  derivmatch lr=0.001 iter=1125/7500 loss=218.0
  derivmatch lr=0.001 iter=1500/7500 loss=213.4
  derivmatch lr=0.001 iter=1875/7500 loss=202.7
  derivmatch lr=0.001 iter=2250/7500 loss=225.7
  derivmatch lr=0.001 iter=2625/7500 loss=232.3
  derivmatch lr=0.001 iter=3000/7500 loss=209.9
  derivmatch lr=0.001 iter=3375/7500 loss=243.2
  derivmatch lr=0.001 iter=3750/7500 loss=213.0
  derivmatch lr=0.001 iter=4125/7500 loss=229.6
  derivmatch lr=0.001 iter=4500/7500 loss=209.4
  derivmatch lr=0.001 iter=4875/7500 loss=222.6
  derivmatch lr=0.001 iter=5250/7500 loss=231.0
  derivmatch lr=0.001 iter=5625/7500 loss=235.0
  derivmatch lr=0.001 iter=6000/7500 loss=249.0
  derivmatch lr=0.001 iter=6375/7500 loss=237.6
  derivmatch lr=0.001 iter=6750/7500 loss=226.3
  derivmatch lr=0.001 iter=7125/7500 loss=230.7
  derivmatch lr=0.001 iter=7500/7500 loss=226.9
  derivmatch lr=0.001 iter=7500/7500 loss=174.9
  derivmatch lr=0.0003 iter=240/4800 loss=157.7
  derivmatch lr=0.0003 iter=480/4800 loss=171.1
  derivmatch lr=0.0003 iter=720/4800 loss=187.7
  derivmatch lr=0.0003 iter=960/4800 loss=185.1
  derivmatch lr=0.0003 iter=1200/4800 loss=185.5
  derivmatch lr=0.0003 iter=1440/4800 loss=186.6
  derivmatch lr=0.0003 iter=1680/4800 loss=207.5
  derivmatch lr=0.0003 iter=1920/4800 loss=185.0
  derivmatch lr=0.0003 iter=2160/4800 loss=201.2
  derivmatch lr=0.0003 iter=2400/4800 loss=198.2
  derivmatch lr=0.0003 iter=2640/4800 loss=219.8
  derivmatch lr=0.0003 iter=2880/4800 loss=192.0
  derivmatch lr=0.0003 iter=3120/4800 loss=186.3
  derivmatch lr=0.0003 iter=3360/4800 loss=189.6
  derivmatch lr=0.0003 iter=3600/4800 loss=192.2
  derivmatch lr=0.0003 iter=3840/4800 loss=190.1
  derivmatch lr=0.0003 iter=4080/4800 loss=182.3
  derivmatch lr=0.0003 iter=4320/4800 loss=200.0
  derivmatch lr=0.0003 iter=4560/4800 loss=195.9
  derivmatch lr=0.0003 iter=4800/4800 loss=193.7
  derivmatch lr=0.0003 iter=4800/4800 loss=152.6
derivative matching [36s]  fitloss=153.0
  [derivative matching]  nrmse=3.361e17  l2=105.8
