Task 15/214: --problem pollu --model mlp --profile fast --seed 11 --pretraining derivmatch --training shapovalova
Logging to /home/txenakis/projects/BVPsolver/logs/run_main_20252509_15.log
┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=mlp d=20 tlen=50 profile=fast seed=11  solver=Rodas5  N=3444
  derivmatch lr=0.01 iter=510/10200 loss=280.5
  derivmatch lr=0.01 iter=1020/10200 loss=266.4
  derivmatch lr=0.01 iter=1530/10200 loss=302.5
  derivmatch lr=0.01 iter=2040/10200 loss=314.8
  derivmatch lr=0.01 iter=2550/10200 loss=307.7
  derivmatch lr=0.01 iter=3060/10200 loss=275.1
  derivmatch lr=0.01 iter=3570/10200 loss=303.5
  derivmatch lr=0.01 iter=4080/10200 loss=269.0
  derivmatch lr=0.01 iter=4590/10200 loss=315.3
  derivmatch lr=0.01 iter=5100/10200 loss=361.3
  derivmatch lr=0.01 iter=5610/10200 loss=304.1
  derivmatch lr=0.01 iter=6120/10200 loss=273.5
  derivmatch lr=0.01 iter=6630/10200 loss=290.3
  derivmatch lr=0.01 iter=7140/10200 loss=312.4
  derivmatch lr=0.01 iter=7650/10200 loss=303.1
  derivmatch lr=0.01 iter=8160/10200 loss=321.0
  derivmatch lr=0.01 iter=8670/10200 loss=307.9
  derivmatch lr=0.01 iter=9180/10200 loss=312.7
  derivmatch lr=0.01 iter=9690/10200 loss=282.5
  derivmatch lr=0.01 iter=10200/10200 loss=287.7
  derivmatch lr=0.01 iter=10200/10200 loss=230.4
  derivmatch lr=0.003 iter=375/7500 loss=233.6
  derivmatch lr=0.003 iter=750/7500 loss=210.1
  derivmatch lr=0.003 iter=1125/7500 loss=228.1
  derivmatch lr=0.003 iter=1500/7500 loss=271.7
  derivmatch lr=0.003 iter=1875/7500 loss=242.2
  derivmatch lr=0.003 iter=2250/7500 loss=230.1
  derivmatch lr=0.003 iter=2625/7500 loss=235.3
  derivmatch lr=0.003 iter=3000/7500 loss=241.9
  derivmatch lr=0.003 iter=3375/7500 loss=242.8
  derivmatch lr=0.003 iter=3750/7500 loss=265.5
  derivmatch lr=0.003 iter=4125/7500 loss=258.2
  derivmatch lr=0.003 iter=4500/7500 loss=240.3
  derivmatch lr=0.003 iter=4875/7500 loss=226.6
  derivmatch lr=0.003 iter=5250/7500 loss=233.9
  derivmatch lr=0.003 iter=5625/7500 loss=235.6
  derivmatch lr=0.003 iter=6000/7500 loss=234.9
  derivmatch lr=0.003 iter=6375/7500 loss=247.6
  derivmatch lr=0.003 iter=6750/7500 loss=254.5
  derivmatch lr=0.003 iter=7125/7500 loss=261.1
  derivmatch lr=0.003 iter=7500/7500 loss=256.3
  derivmatch lr=0.003 iter=7500/7500 loss=186.6
  derivmatch lr=0.001 iter=375/7500 loss=214.3
  derivmatch lr=0.001 iter=750/7500 loss=218.5
  derivmatch lr=0.001 iter=1125/7500 loss=226.9
  derivmatch lr=0.001 iter=1500/7500 loss=216.0
  derivmatch lr=0.001 iter=1875/7500 loss=206.0
  derivmatch lr=0.001 iter=2250/7500 loss=206.4
  derivmatch lr=0.001 iter=2625/7500 loss=211.2
  derivmatch lr=0.001 iter=3000/7500 loss=212.6
  derivmatch lr=0.001 iter=3375/7500 loss=233.0
  derivmatch lr=0.001 iter=3750/7500 loss=228.3
  derivmatch lr=0.001 iter=4125/7500 loss=225.0
  derivmatch lr=0.001 iter=4500/7500 loss=222.7
  derivmatch lr=0.001 iter=4875/7500 loss=226.0
  derivmatch lr=0.001 iter=5250/7500 loss=234.3
  derivmatch lr=0.001 iter=5625/7500 loss=228.1
  derivmatch lr=0.001 iter=6000/7500 loss=257.6
  derivmatch lr=0.001 iter=6375/7500 loss=230.8
  derivmatch lr=0.001 iter=6750/7500 loss=227.7
  derivmatch lr=0.001 iter=7125/7500 loss=230.5
  derivmatch lr=0.001 iter=7500/7500 loss=227.2
  derivmatch lr=0.001 iter=7500/7500 loss=173.1
  derivmatch lr=0.0003 iter=240/4800 loss=172.8
  derivmatch lr=0.0003 iter=480/4800 loss=209.1
  derivmatch lr=0.0003 iter=720/4800 loss=209.4
  derivmatch lr=0.0003 iter=960/4800 loss=203.6
  derivmatch lr=0.0003 iter=1200/4800 loss=191.3
  derivmatch lr=0.0003 iter=1440/4800 loss=190.6
  derivmatch lr=0.0003 iter=1680/4800 loss=191.8
  derivmatch lr=0.0003 iter=1920/4800 loss=191.7
  derivmatch lr=0.0003 iter=2160/4800 loss=193.0
  derivmatch lr=0.0003 iter=2400/4800 loss=189.9
  derivmatch lr=0.0003 iter=2640/4800 loss=191.9
  derivmatch lr=0.0003 iter=2880/4800 loss=190.6
  derivmatch lr=0.0003 iter=3120/4800 loss=193.4
  derivmatch lr=0.0003 iter=3360/4800 loss=192.6
  derivmatch lr=0.0003 iter=3600/4800 loss=189.5
  derivmatch lr=0.0003 iter=3840/4800 loss=188.9
  derivmatch lr=0.0003 iter=4080/4800 loss=204.5
  derivmatch lr=0.0003 iter=4320/4800 loss=211.4
  derivmatch lr=0.0003 iter=4560/4800 loss=213.0
  derivmatch lr=0.0003 iter=4800/4800 loss=202.2
  derivmatch lr=0.0003 iter=4800/4800 loss=153.2
derivative matching [41s]  fitloss=153.0
  [derivative matching]  nrmse=3.462e17  l2=258.4
