Task 245/1800: --problem pollu --model GELU-scaled --profile fast --seed 145 --pretraining derivmatch --training shooting
Logging to /home/txenakis/projects/BVPsolver/logs/run_main_23493023_245.log
┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=GELU-scaled width=40 d=20 tlen=50 profile=fast seed=145  solver=Rodas5  N=4940
  derivmatch lr=0.01 iter=510/10200 loss=8.527
  derivmatch lr=0.01 iter=1020/10200 loss=6.695
  derivmatch lr=0.01 iter=1530/10200 loss=6.053
  derivmatch lr=0.01 iter=2040/10200 loss=4.015
  derivmatch lr=0.01 iter=2550/10200 loss=3.164
  derivmatch lr=0.01 iter=3060/10200 loss=3.681
  derivmatch lr=0.01 iter=3570/10200 loss=3.697
  derivmatch lr=0.01 iter=4080/10200 loss=3.358
  derivmatch lr=0.01 iter=4590/10200 loss=2.903
  derivmatch lr=0.01 iter=5100/10200 loss=2.148
  derivmatch lr=0.01 iter=5610/10200 loss=1.791
  derivmatch lr=0.01 iter=6120/10200 loss=1.645
  derivmatch lr=0.01 iter=6630/10200 loss=1.902
  derivmatch lr=0.01 iter=7140/10200 loss=1.635
  derivmatch lr=0.01 iter=7650/10200 loss=1.996
  derivmatch lr=0.01 iter=8160/10200 loss=1.726
  derivmatch lr=0.01 iter=8670/10200 loss=1.559
  derivmatch lr=0.01 iter=9180/10200 loss=1.532
  derivmatch lr=0.01 iter=9690/10200 loss=1.426
  derivmatch lr=0.01 iter=10200/10200 loss=1.482
  derivmatch lr=0.01 iter=10200/10200 loss=0.9152
  derivmatch lr=0.003 iter=375/7500 loss=0.6321
  derivmatch lr=0.003 iter=750/7500 loss=0.7022
  derivmatch lr=0.003 iter=1125/7500 loss=0.6144
  derivmatch lr=0.003 iter=1500/7500 loss=0.7037
  derivmatch lr=0.003 iter=1875/7500 loss=0.7176
  derivmatch lr=0.003 iter=2250/7500 loss=0.6098
  derivmatch lr=0.003 iter=2625/7500 loss=0.5163
  derivmatch lr=0.003 iter=3000/7500 loss=0.7305
  derivmatch lr=0.003 iter=3375/7500 loss=0.5438
  derivmatch lr=0.003 iter=3750/7500 loss=0.5764
  derivmatch lr=0.003 iter=4125/7500 loss=0.4798
  derivmatch lr=0.003 iter=4500/7500 loss=0.5735
  derivmatch lr=0.003 iter=4875/7500 loss=0.5824
  derivmatch lr=0.003 iter=5250/7500 loss=0.5151
  derivmatch lr=0.003 iter=5625/7500 loss=0.4826
  derivmatch lr=0.003 iter=6000/7500 loss=0.5292
  derivmatch lr=0.003 iter=6375/7500 loss=0.4602
  derivmatch lr=0.003 iter=6750/7500 loss=0.5355
  derivmatch lr=0.003 iter=7125/7500 loss=0.5403
  derivmatch lr=0.003 iter=7500/7500 loss=0.4729
  derivmatch lr=0.003 iter=7500/7500 loss=0.3982
  derivmatch lr=0.001 iter=375/7500 loss=0.3756
  derivmatch lr=0.001 iter=750/7500 loss=0.3689
  derivmatch lr=0.001 iter=1125/7500 loss=0.3501
  derivmatch lr=0.001 iter=1500/7500 loss=0.3598
  derivmatch lr=0.001 iter=1875/7500 loss=0.3633
  derivmatch lr=0.001 iter=2250/7500 loss=0.3711
  derivmatch lr=0.001 iter=2625/7500 loss=0.3425
  derivmatch lr=0.001 iter=3000/7500 loss=0.3715
  derivmatch lr=0.001 iter=3375/7500 loss=0.3443
  derivmatch lr=0.001 iter=3750/7500 loss=0.3327
  derivmatch lr=0.001 iter=4125/7500 loss=0.3366
  derivmatch lr=0.001 iter=4500/7500 loss=0.354
  derivmatch lr=0.001 iter=4875/7500 loss=0.3428
  derivmatch lr=0.001 iter=5250/7500 loss=0.3761
  derivmatch lr=0.001 iter=5625/7500 loss=0.3617
  derivmatch lr=0.001 iter=6000/7500 loss=0.333
  derivmatch lr=0.001 iter=6375/7500 loss=0.334
  derivmatch lr=0.001 iter=6750/7500 loss=0.3222
  derivmatch lr=0.001 iter=7125/7500 loss=0.3226
  derivmatch lr=0.001 iter=7500/7500 loss=0.3562
  derivmatch lr=0.001 iter=7500/7500 loss=0.3133
  derivmatch lr=0.0003 iter=240/4800 loss=0.3108
  derivmatch lr=0.0003 iter=480/4800 loss=0.3101
  derivmatch lr=0.0003 iter=720/4800 loss=0.309
  derivmatch lr=0.0003 iter=960/4800 loss=0.3081
  derivmatch lr=0.0003 iter=1200/4800 loss=0.3068
  derivmatch lr=0.0003 iter=1440/4800 loss=0.3071
  derivmatch lr=0.0003 iter=1680/4800 loss=0.3056
  derivmatch lr=0.0003 iter=1920/4800 loss=0.3055
  derivmatch lr=0.0003 iter=2160/4800 loss=0.3028
  derivmatch lr=0.0003 iter=2400/4800 loss=0.3033
  derivmatch lr=0.0003 iter=2640/4800 loss=0.3028
  derivmatch lr=0.0003 iter=2880/4800 loss=0.3025
  derivmatch lr=0.0003 iter=3120/4800 loss=0.3008
  derivmatch lr=0.0003 iter=3360/4800 loss=0.2997
  derivmatch lr=0.0003 iter=3600/4800 loss=0.3
  derivmatch lr=0.0003 iter=3840/4800 loss=0.2985
  derivmatch lr=0.0003 iter=4080/4800 loss=0.2978
  derivmatch lr=0.0003 iter=4320/4800 loss=0.2962
  derivmatch lr=0.0003 iter=4560/4800 loss=0.2943
  derivmatch lr=0.0003 iter=4800/4800 loss=0.2952
  derivmatch lr=0.0003 iter=4800/4800 loss=0.293
derivative matching [36s]  fitloss=0.293
  [derivative matching]  nrmse=0.3873  l2=0.001852
  shooting iter=50/1000 loss=0.05747
