┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=stiff width=32 d=20 tlen=50 profile=fast seed=127  solver=Rodas5  N=4744
  derivmatch lr=0.01 iter=510/10200 loss=0.04338
  derivmatch lr=0.01 iter=1020/10200 loss=0.02532
  derivmatch lr=0.01 iter=1530/10200 loss=0.01077
  derivmatch lr=0.01 iter=2040/10200 loss=0.1277
  derivmatch lr=0.01 iter=2550/10200 loss=0.004437
  derivmatch lr=0.01 iter=3060/10200 loss=0.01983
  derivmatch lr=0.01 iter=3570/10200 loss=0.003266
  derivmatch lr=0.01 iter=4080/10200 loss=0.002017
  derivmatch lr=0.01 iter=4590/10200 loss=0.001413
  derivmatch lr=0.01 iter=5100/10200 loss=0.001329
  derivmatch lr=0.01 iter=5610/10200 loss=0.001323
  derivmatch lr=0.01 iter=6120/10200 loss=0.003541
  derivmatch lr=0.01 iter=6630/10200 loss=0.001575
  derivmatch lr=0.01 iter=7140/10200 loss=0.002848
  derivmatch lr=0.01 iter=7650/10200 loss=0.001114
  derivmatch lr=0.01 iter=8160/10200 loss=0.001069
  derivmatch lr=0.01 iter=8670/10200 loss=0.001103
  derivmatch lr=0.01 iter=9180/10200 loss=0.0009635
  derivmatch lr=0.01 iter=9690/10200 loss=0.0008904
  derivmatch lr=0.01 iter=10200/10200 loss=0.04
  derivmatch lr=0.01 iter=10200/10200 loss=0.0002939
  derivmatch lr=0.003 iter=375/7500 loss=0.0001892
  derivmatch lr=0.003 iter=750/7500 loss=0.0001372
  derivmatch lr=0.003 iter=1125/7500 loss=0.0002405
  derivmatch lr=0.003 iter=1500/7500 loss=8.948e-5
  derivmatch lr=0.003 iter=1875/7500 loss=0.0002088
  derivmatch lr=0.003 iter=2250/7500 loss=8.292e-5
  derivmatch lr=0.003 iter=2625/7500 loss=9.564e-5
  derivmatch lr=0.003 iter=3000/7500 loss=0.0002274
  derivmatch lr=0.003 iter=3375/7500 loss=6.721e-5
  derivmatch lr=0.003 iter=3750/7500 loss=8.115e-5
  derivmatch lr=0.003 iter=4125/7500 loss=9.277e-5
  derivmatch lr=0.003 iter=4500/7500 loss=6.709e-5
  derivmatch lr=0.003 iter=4875/7500 loss=0.0001647
  derivmatch lr=0.003 iter=5250/7500 loss=3.178e-5
  derivmatch lr=0.003 iter=5625/7500 loss=0.0004135
  derivmatch lr=0.003 iter=6000/7500 loss=0.000143
  derivmatch lr=0.003 iter=6375/7500 loss=5.799e-5
  derivmatch lr=0.003 iter=6750/7500 loss=6.117e-5
  derivmatch lr=0.003 iter=7125/7500 loss=3.061e-5
  derivmatch lr=0.003 iter=7500/7500 loss=0.0003728
  derivmatch lr=0.003 iter=7500/7500 loss=2.376e-5
  derivmatch lr=0.001 iter=375/7500 loss=2.018e-5
  derivmatch lr=0.001 iter=750/7500 loss=1.944e-5
  derivmatch lr=0.001 iter=1125/7500 loss=1.873e-5
  derivmatch lr=0.001 iter=1500/7500 loss=1.788e-5
  derivmatch lr=0.001 iter=1875/7500 loss=1.711e-5
  derivmatch lr=0.001 iter=2250/7500 loss=3.748e-5
  derivmatch lr=0.001 iter=2625/7500 loss=2.024e-5
  derivmatch lr=0.001 iter=3000/7500 loss=2.815e-5
  derivmatch lr=0.001 iter=3375/7500 loss=1.931e-5
  derivmatch lr=0.001 iter=3750/7500 loss=1.707e-5
  derivmatch lr=0.001 iter=4125/7500 loss=1.559e-5
  derivmatch lr=0.001 iter=4500/7500 loss=1.871e-5
  derivmatch lr=0.001 iter=4875/7500 loss=0.0001185
  derivmatch lr=0.001 iter=5250/7500 loss=2.637e-5
  derivmatch lr=0.001 iter=5625/7500 loss=1.55e-5
  derivmatch lr=0.001 iter=6000/7500 loss=3.211e-5
  derivmatch lr=0.001 iter=6375/7500 loss=1.224e-5
  derivmatch lr=0.001 iter=6750/7500 loss=3.703e-5
  derivmatch lr=0.001 iter=7125/7500 loss=1.211e-5
  derivmatch lr=0.001 iter=7500/7500 loss=1.036e-5
  derivmatch lr=0.001 iter=7500/7500 loss=1.036e-5
  derivmatch lr=0.0003 iter=240/4800 loss=1.033e-5
  derivmatch lr=0.0003 iter=480/4800 loss=1.028e-5
  derivmatch lr=0.0003 iter=720/4800 loss=1.021e-5
  derivmatch lr=0.0003 iter=960/4800 loss=1.012e-5
  derivmatch lr=0.0003 iter=1200/4800 loss=1.003e-5
  derivmatch lr=0.0003 iter=1440/4800 loss=1.532e-5
  derivmatch lr=0.0003 iter=1680/4800 loss=9.999e-6
  derivmatch lr=0.0003 iter=1920/4800 loss=1.368e-5
  derivmatch lr=0.0003 iter=2160/4800 loss=1.117e-5
  derivmatch lr=0.0003 iter=2400/4800 loss=1.517e-5
  derivmatch lr=0.0003 iter=2640/4800 loss=9.944e-6
  derivmatch lr=0.0003 iter=2880/4800 loss=9.754e-6
  derivmatch lr=0.0003 iter=3120/4800 loss=9.425e-6
  derivmatch lr=0.0003 iter=3360/4800 loss=9.312e-6
  derivmatch lr=0.0003 iter=3600/4800 loss=1.331e-5
  derivmatch lr=0.0003 iter=3840/4800 loss=2.303e-5
  derivmatch lr=0.0003 iter=4080/4800 loss=1.245e-5
  derivmatch lr=0.0003 iter=4320/4800 loss=8.827e-6
  derivmatch lr=0.0003 iter=4560/4800 loss=1.018e-5
  derivmatch lr=0.0003 iter=4800/4800 loss=8.798e-6
  derivmatch lr=0.0003 iter=4800/4800 loss=8.508e-6
derivative matching [45s]  fitloss=8.51e-6
  [derivative matching]  nrmse=0.04059  l2=0.003696
