┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=GELU-scaled width=40 d=20 tlen=50 profile=fast seed=131  solver=Rodas5  N=4940
  derivmatch lr=0.01 iter=510/10200 loss=8.24
  derivmatch lr=0.01 iter=1020/10200 loss=6.393
  derivmatch lr=0.01 iter=1530/10200 loss=5.512
  derivmatch lr=0.01 iter=2040/10200 loss=5.044
  derivmatch lr=0.01 iter=2550/10200 loss=3.559
  derivmatch lr=0.01 iter=3060/10200 loss=3.844
  derivmatch lr=0.01 iter=3570/10200 loss=3.436
  derivmatch lr=0.01 iter=4080/10200 loss=2.567
  derivmatch lr=0.01 iter=4590/10200 loss=2.784
  derivmatch lr=0.01 iter=5100/10200 loss=2.141
  derivmatch lr=0.01 iter=5610/10200 loss=2.56
  derivmatch lr=0.01 iter=6120/10200 loss=2.323
  derivmatch lr=0.01 iter=6630/10200 loss=1.978
  derivmatch lr=0.01 iter=7140/10200 loss=1.493
  derivmatch lr=0.01 iter=7650/10200 loss=1.743
  derivmatch lr=0.01 iter=8160/10200 loss=1.944
  derivmatch lr=0.01 iter=8670/10200 loss=1.523
  derivmatch lr=0.01 iter=9180/10200 loss=1.787
  derivmatch lr=0.01 iter=9690/10200 loss=1.528
  derivmatch lr=0.01 iter=10200/10200 loss=1.395
  derivmatch lr=0.01 iter=10200/10200 loss=0.888
  derivmatch lr=0.003 iter=375/7500 loss=0.5911
  derivmatch lr=0.003 iter=750/7500 loss=0.6812
  derivmatch lr=0.003 iter=1125/7500 loss=0.8321
  derivmatch lr=0.003 iter=1500/7500 loss=0.5183
  derivmatch lr=0.003 iter=1875/7500 loss=0.6256
  derivmatch lr=0.003 iter=2250/7500 loss=0.5571
  derivmatch lr=0.003 iter=2625/7500 loss=0.5814
  derivmatch lr=0.003 iter=3000/7500 loss=0.5412
  derivmatch lr=0.003 iter=3375/7500 loss=0.5584
  derivmatch lr=0.003 iter=3750/7500 loss=0.5893
  derivmatch lr=0.003 iter=4125/7500 loss=0.4943
  derivmatch lr=0.003 iter=4500/7500 loss=0.5926
  derivmatch lr=0.003 iter=4875/7500 loss=0.4495
  derivmatch lr=0.003 iter=5250/7500 loss=0.5562
  derivmatch lr=0.003 iter=5625/7500 loss=0.5677
  derivmatch lr=0.003 iter=6000/7500 loss=0.5225
  derivmatch lr=0.003 iter=6375/7500 loss=0.556
  derivmatch lr=0.003 iter=6750/7500 loss=0.4375
  derivmatch lr=0.003 iter=7125/7500 loss=0.4126
  derivmatch lr=0.003 iter=7500/7500 loss=0.5342
  derivmatch lr=0.003 iter=7500/7500 loss=0.3881
  derivmatch lr=0.001 iter=375/7500 loss=0.3611
  derivmatch lr=0.001 iter=750/7500 loss=0.3579
  derivmatch lr=0.001 iter=1125/7500 loss=0.3538
  derivmatch lr=0.001 iter=1500/7500 loss=0.351
  derivmatch lr=0.001 iter=1875/7500 loss=0.3478
  derivmatch lr=0.001 iter=2250/7500 loss=0.3469
  derivmatch lr=0.001 iter=2625/7500 loss=0.3437
  derivmatch lr=0.001 iter=3000/7500 loss=0.3489
  derivmatch lr=0.001 iter=3375/7500 loss=0.3344
  derivmatch lr=0.001 iter=3750/7500 loss=0.3483
  derivmatch lr=0.001 iter=4125/7500 loss=0.3583
  derivmatch lr=0.001 iter=4500/7500 loss=0.3294
  derivmatch lr=0.001 iter=4875/7500 loss=0.3348
  derivmatch lr=0.001 iter=5250/7500 loss=0.3416
  derivmatch lr=0.001 iter=5625/7500 loss=0.3392
  derivmatch lr=0.001 iter=6000/7500 loss=0.4164
  derivmatch lr=0.001 iter=6375/7500 loss=0.3295
  derivmatch lr=0.001 iter=6750/7500 loss=0.3499
  derivmatch lr=0.001 iter=7125/7500 loss=0.3712
  derivmatch lr=0.001 iter=7500/7500 loss=0.339
  derivmatch lr=0.001 iter=7500/7500 loss=0.3159
  derivmatch lr=0.0003 iter=240/4800 loss=0.3142
  derivmatch lr=0.0003 iter=480/4800 loss=0.3143
  derivmatch lr=0.0003 iter=720/4800 loss=0.3147
  derivmatch lr=0.0003 iter=960/4800 loss=0.313
  derivmatch lr=0.0003 iter=1200/4800 loss=0.3108
  derivmatch lr=0.0003 iter=1440/4800 loss=0.3105
  derivmatch lr=0.0003 iter=1680/4800 loss=0.3098
  derivmatch lr=0.0003 iter=1920/4800 loss=0.3101
  derivmatch lr=0.0003 iter=2160/4800 loss=0.3101
  derivmatch lr=0.0003 iter=2400/4800 loss=0.3077
  derivmatch lr=0.0003 iter=2640/4800 loss=0.3091
  derivmatch lr=0.0003 iter=2880/4800 loss=0.3069
  derivmatch lr=0.0003 iter=3120/4800 loss=0.3062
  derivmatch lr=0.0003 iter=3360/4800 loss=0.3058
  derivmatch lr=0.0003 iter=3600/4800 loss=0.3067
  derivmatch lr=0.0003 iter=3840/4800 loss=0.3051
  derivmatch lr=0.0003 iter=4080/4800 loss=0.3038
  derivmatch lr=0.0003 iter=4320/4800 loss=0.3051
  derivmatch lr=0.0003 iter=4560/4800 loss=0.3032
  derivmatch lr=0.0003 iter=4800/4800 loss=0.3036
  derivmatch lr=0.0003 iter=4800/4800 loss=0.3025
derivative matching [36s]  fitloss=0.302
  [derivative matching]  nrmse=0.3394  l2=0.003148
  shooting iter=50/1000 loss=0.05868
