┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=stiff width=32 d=20 tlen=50 profile=fast seed=135  solver=Rodas5  N=4744
  derivmatch lr=0.01 iter=510/10200 loss=0.0438
  derivmatch lr=0.01 iter=1020/10200 loss=0.01279
  derivmatch lr=0.01 iter=1530/10200 loss=0.006672
  derivmatch lr=0.01 iter=2040/10200 loss=0.004611
  derivmatch lr=0.01 iter=2550/10200 loss=0.002835
  derivmatch lr=0.01 iter=3060/10200 loss=0.002037
  derivmatch lr=0.01 iter=3570/10200 loss=0.001594
  derivmatch lr=0.01 iter=4080/10200 loss=0.002438
  derivmatch lr=0.01 iter=4590/10200 loss=0.001459
  derivmatch lr=0.01 iter=5100/10200 loss=0.001067
  derivmatch lr=0.01 iter=5610/10200 loss=0.001093
  derivmatch lr=0.01 iter=6120/10200 loss=0.0008731
  derivmatch lr=0.01 iter=6630/10200 loss=0.0007601
  derivmatch lr=0.01 iter=7140/10200 loss=0.001158
  derivmatch lr=0.01 iter=7650/10200 loss=0.002587
  derivmatch lr=0.01 iter=8160/10200 loss=0.001183
  derivmatch lr=0.01 iter=8670/10200 loss=0.0009346
  derivmatch lr=0.01 iter=9180/10200 loss=0.0007963
  derivmatch lr=0.01 iter=9690/10200 loss=0.0006241
  derivmatch lr=0.01 iter=10200/10200 loss=0.0006002
  derivmatch lr=0.01 iter=10200/10200 loss=0.000167
  derivmatch lr=0.003 iter=375/7500 loss=0.0001131
  derivmatch lr=0.003 iter=750/7500 loss=8.355e-5
  derivmatch lr=0.003 iter=1125/7500 loss=8.552e-5
  derivmatch lr=0.003 iter=1500/7500 loss=0.0001662
  derivmatch lr=0.003 iter=1875/7500 loss=7.731e-5
  derivmatch lr=0.003 iter=2250/7500 loss=5.701e-5
  derivmatch lr=0.003 iter=2625/7500 loss=3.518e-5
  derivmatch lr=0.003 iter=3000/7500 loss=0.0001199
  derivmatch lr=0.003 iter=3375/7500 loss=0.000313
  derivmatch lr=0.003 iter=3750/7500 loss=6.395e-5
  derivmatch lr=0.003 iter=4125/7500 loss=6.41e-5
  derivmatch lr=0.003 iter=4500/7500 loss=0.0001296
  derivmatch lr=0.003 iter=4875/7500 loss=6.291e-5
  derivmatch lr=0.003 iter=5250/7500 loss=6.273e-5
  derivmatch lr=0.003 iter=5625/7500 loss=2.752e-5
  derivmatch lr=0.003 iter=6000/7500 loss=0.0001078
  derivmatch lr=0.003 iter=6375/7500 loss=9.276e-5
  derivmatch lr=0.003 iter=6750/7500 loss=5.593e-5
  derivmatch lr=0.003 iter=7125/7500 loss=2.475e-5
  derivmatch lr=0.003 iter=7500/7500 loss=0.0001097
  derivmatch lr=0.003 iter=7500/7500 loss=1.397e-5
  derivmatch lr=0.001 iter=375/7500 loss=1.351e-5
  derivmatch lr=0.001 iter=750/7500 loss=1.3e-5
  derivmatch lr=0.001 iter=1125/7500 loss=1.253e-5
  derivmatch lr=0.001 iter=1500/7500 loss=1.209e-5
  derivmatch lr=0.001 iter=1875/7500 loss=1.161e-5
  derivmatch lr=0.001 iter=2250/7500 loss=2.178e-5
  derivmatch lr=0.001 iter=2625/7500 loss=1.089e-5
  derivmatch lr=0.001 iter=3000/7500 loss=0.0001757
  derivmatch lr=0.001 iter=3375/7500 loss=1.646e-5
  derivmatch lr=0.001 iter=3750/7500 loss=9.732e-6
  derivmatch lr=0.001 iter=4125/7500 loss=3.042e-5
  derivmatch lr=0.001 iter=4500/7500 loss=1.365e-5
  derivmatch lr=0.001 iter=4875/7500 loss=3.746e-5
  derivmatch lr=0.001 iter=5250/7500 loss=9.964e-5
  derivmatch lr=0.001 iter=5625/7500 loss=8.68e-6
  derivmatch lr=0.001 iter=6000/7500 loss=2.045e-5
  derivmatch lr=0.001 iter=6375/7500 loss=1.436e-5
  derivmatch lr=0.001 iter=6750/7500 loss=1.412e-5
  derivmatch lr=0.001 iter=7125/7500 loss=1.1e-5
  derivmatch lr=0.001 iter=7500/7500 loss=8.039e-6
  derivmatch lr=0.001 iter=7500/7500 loss=7.729e-6
  derivmatch lr=0.0003 iter=240/4800 loss=7.622e-6
  derivmatch lr=0.0003 iter=480/4800 loss=7.589e-6
  derivmatch lr=0.0003 iter=720/4800 loss=7.547e-6
  derivmatch lr=0.0003 iter=960/4800 loss=7.497e-6
  derivmatch lr=0.0003 iter=1200/4800 loss=7.438e-6
  derivmatch lr=0.0003 iter=1440/4800 loss=1.48e-5
  derivmatch lr=0.0003 iter=1680/4800 loss=7.312e-6
  derivmatch lr=0.0003 iter=1920/4800 loss=7.243e-6
  derivmatch lr=0.0003 iter=2160/4800 loss=7.177e-6
  derivmatch lr=0.0003 iter=2400/4800 loss=7.111e-6
  derivmatch lr=0.0003 iter=2640/4800 loss=7.05e-6
  derivmatch lr=0.0003 iter=2880/4800 loss=6.982e-6
  derivmatch lr=0.0003 iter=3120/4800 loss=6.92e-6
  derivmatch lr=0.0003 iter=3360/4800 loss=2.242e-5
  derivmatch lr=0.0003 iter=3600/4800 loss=6.998e-6
  derivmatch lr=0.0003 iter=3840/4800 loss=7.804e-6
  derivmatch lr=0.0003 iter=4080/4800 loss=6.74e-6
  derivmatch lr=0.0003 iter=4320/4800 loss=6.65e-6
  derivmatch lr=0.0003 iter=4560/4800 loss=6.96e-6
  derivmatch lr=0.0003 iter=4800/4800 loss=6.876e-6
  derivmatch lr=0.0003 iter=4800/4800 loss=6.528e-6
derivative matching [46s]  fitloss=6.53e-6
  [derivative matching]  nrmse=0.04667  l2=0.004668
