┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=GELU-scaled width=40 d=20 tlen=50 profile=fast seed=133  solver=Rodas5  N=4940
  derivmatch lr=0.01 iter=510/10200 loss=6.109
  derivmatch lr=0.01 iter=1020/10200 loss=5.968
  derivmatch lr=0.01 iter=1530/10200 loss=6.089
  derivmatch lr=0.01 iter=2040/10200 loss=3.904
  derivmatch lr=0.01 iter=2550/10200 loss=3.823
  derivmatch lr=0.01 iter=3060/10200 loss=3.287
  derivmatch lr=0.01 iter=3570/10200 loss=3.689
  derivmatch lr=0.01 iter=4080/10200 loss=3.226
  derivmatch lr=0.01 iter=4590/10200 loss=2.601
  derivmatch lr=0.01 iter=5100/10200 loss=2.19
  derivmatch lr=0.01 iter=5610/10200 loss=3.027
  derivmatch lr=0.01 iter=6120/10200 loss=1.764
  derivmatch lr=0.01 iter=6630/10200 loss=1.808
  derivmatch lr=0.01 iter=7140/10200 loss=1.822
  derivmatch lr=0.01 iter=7650/10200 loss=1.769
  derivmatch lr=0.01 iter=8160/10200 loss=1.561
  derivmatch lr=0.01 iter=8670/10200 loss=1.661
  derivmatch lr=0.01 iter=9180/10200 loss=2.15
  derivmatch lr=0.01 iter=9690/10200 loss=1.501
  derivmatch lr=0.01 iter=10200/10200 loss=1.255
  derivmatch lr=0.01 iter=10200/10200 loss=0.9059
  derivmatch lr=0.003 iter=375/7500 loss=0.6916
  derivmatch lr=0.003 iter=750/7500 loss=0.7915
  derivmatch lr=0.003 iter=1125/7500 loss=0.721
  derivmatch lr=0.003 iter=1500/7500 loss=0.5854
  derivmatch lr=0.003 iter=1875/7500 loss=0.727
  derivmatch lr=0.003 iter=2250/7500 loss=0.5748
  derivmatch lr=0.003 iter=2625/7500 loss=0.51
  derivmatch lr=0.003 iter=3000/7500 loss=0.7452
  derivmatch lr=0.003 iter=3375/7500 loss=0.4938
  derivmatch lr=0.003 iter=3750/7500 loss=0.689
  derivmatch lr=0.003 iter=4125/7500 loss=0.5711
  derivmatch lr=0.003 iter=4500/7500 loss=0.7117
  derivmatch lr=0.003 iter=4875/7500 loss=0.5452
  derivmatch lr=0.003 iter=5250/7500 loss=0.5668
  derivmatch lr=0.003 iter=5625/7500 loss=0.6093
  derivmatch lr=0.003 iter=6000/7500 loss=0.5369
  derivmatch lr=0.003 iter=6375/7500 loss=0.6468
  derivmatch lr=0.003 iter=6750/7500 loss=0.4661
  derivmatch lr=0.003 iter=7125/7500 loss=0.5157
  derivmatch lr=0.003 iter=7500/7500 loss=0.5197
  derivmatch lr=0.003 iter=7500/7500 loss=0.4171
  derivmatch lr=0.001 iter=375/7500 loss=0.3805
  derivmatch lr=0.001 iter=750/7500 loss=0.3698
  derivmatch lr=0.001 iter=1125/7500 loss=0.3686
  derivmatch lr=0.001 iter=1500/7500 loss=0.3538
  derivmatch lr=0.001 iter=1875/7500 loss=0.357
  derivmatch lr=0.001 iter=2250/7500 loss=0.3882
  derivmatch lr=0.001 iter=2625/7500 loss=0.3539
  derivmatch lr=0.001 iter=3000/7500 loss=0.3875
  derivmatch lr=0.001 iter=3375/7500 loss=0.3578
  derivmatch lr=0.001 iter=3750/7500 loss=0.3508
  derivmatch lr=0.001 iter=4125/7500 loss=0.3586
  derivmatch lr=0.001 iter=4500/7500 loss=0.3456
  derivmatch lr=0.001 iter=4875/7500 loss=0.3429
  derivmatch lr=0.001 iter=5250/7500 loss=0.3543
  derivmatch lr=0.001 iter=5625/7500 loss=0.3587
  derivmatch lr=0.001 iter=6000/7500 loss=0.3642
  derivmatch lr=0.001 iter=6375/7500 loss=0.3822
  derivmatch lr=0.001 iter=6750/7500 loss=0.354
  derivmatch lr=0.001 iter=7125/7500 loss=0.3496
  derivmatch lr=0.001 iter=7500/7500 loss=0.3415
  derivmatch lr=0.001 iter=7500/7500 loss=0.3268
  derivmatch lr=0.0003 iter=240/4800 loss=0.3244
  derivmatch lr=0.0003 iter=480/4800 loss=0.3233
  derivmatch lr=0.0003 iter=720/4800 loss=0.3234
  derivmatch lr=0.0003 iter=960/4800 loss=0.3226
  derivmatch lr=0.0003 iter=1200/4800 loss=0.3219
  derivmatch lr=0.0003 iter=1440/4800 loss=0.3212
  derivmatch lr=0.0003 iter=1680/4800 loss=0.3206
  derivmatch lr=0.0003 iter=1920/4800 loss=0.3201
  derivmatch lr=0.0003 iter=2160/4800 loss=0.3195
  derivmatch lr=0.0003 iter=2400/4800 loss=0.3189
  derivmatch lr=0.0003 iter=2640/4800 loss=0.3184
  derivmatch lr=0.0003 iter=2880/4800 loss=0.3178
  derivmatch lr=0.0003 iter=3120/4800 loss=0.3173
  derivmatch lr=0.0003 iter=3360/4800 loss=0.3167
  derivmatch lr=0.0003 iter=3600/4800 loss=0.3162
  derivmatch lr=0.0003 iter=3840/4800 loss=0.3157
  derivmatch lr=0.0003 iter=4080/4800 loss=0.3152
  derivmatch lr=0.0003 iter=4320/4800 loss=0.3147
  derivmatch lr=0.0003 iter=4560/4800 loss=0.3143
  derivmatch lr=0.0003 iter=4800/4800 loss=0.3141
  derivmatch lr=0.0003 iter=4800/4800 loss=0.3137
derivative matching [45s]  fitloss=0.314
  [derivative matching]  nrmse=0.6088  l2=0.00213
