┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=GELU-scaled width=40 d=20 tlen=50 profile=fast seed=116  solver=Rodas5  N=4940
  derivmatch lr=0.01 iter=510/10200 loss=6.357
  derivmatch lr=0.01 iter=1020/10200 loss=6.266
  derivmatch lr=0.01 iter=1530/10200 loss=5.834
  derivmatch lr=0.01 iter=2040/10200 loss=4.589
  derivmatch lr=0.01 iter=2550/10200 loss=4.105
  derivmatch lr=0.01 iter=3060/10200 loss=3.462
  derivmatch lr=0.01 iter=3570/10200 loss=2.699
  derivmatch lr=0.01 iter=4080/10200 loss=3.042
  derivmatch lr=0.01 iter=4590/10200 loss=2.662
  derivmatch lr=0.01 iter=5100/10200 loss=2.474
  derivmatch lr=0.01 iter=5610/10200 loss=2.643
  derivmatch lr=0.01 iter=6120/10200 loss=2.66
  derivmatch lr=0.01 iter=6630/10200 loss=2.066
  derivmatch lr=0.01 iter=7140/10200 loss=3.597
  derivmatch lr=0.01 iter=7650/10200 loss=1.567
  derivmatch lr=0.01 iter=8160/10200 loss=1.89
  derivmatch lr=0.01 iter=8670/10200 loss=1.355
  derivmatch lr=0.01 iter=9180/10200 loss=1.557
  derivmatch lr=0.01 iter=9690/10200 loss=1.427
  derivmatch lr=0.01 iter=10200/10200 loss=1.348
  derivmatch lr=0.01 iter=10200/10200 loss=0.9791
  derivmatch lr=0.003 iter=375/7500 loss=0.6884
  derivmatch lr=0.003 iter=750/7500 loss=0.7384
  derivmatch lr=0.003 iter=1125/7500 loss=0.7297
  derivmatch lr=0.003 iter=1500/7500 loss=0.5586
  derivmatch lr=0.003 iter=1875/7500 loss=0.7716
  derivmatch lr=0.003 iter=2250/7500 loss=0.6648
  derivmatch lr=0.003 iter=2625/7500 loss=0.5865
  derivmatch lr=0.003 iter=3000/7500 loss=0.5496
  derivmatch lr=0.003 iter=3375/7500 loss=0.5064
  derivmatch lr=0.003 iter=3750/7500 loss=0.6343
  derivmatch lr=0.003 iter=4125/7500 loss=0.6092
  derivmatch lr=0.003 iter=4500/7500 loss=0.6427
  derivmatch lr=0.003 iter=4875/7500 loss=0.5634
  derivmatch lr=0.003 iter=5250/7500 loss=0.4578
  derivmatch lr=0.003 iter=5625/7500 loss=0.6175
  derivmatch lr=0.003 iter=6000/7500 loss=0.6448
  derivmatch lr=0.003 iter=6375/7500 loss=0.4657
  derivmatch lr=0.003 iter=6750/7500 loss=0.5802
  derivmatch lr=0.003 iter=7125/7500 loss=0.4716
  derivmatch lr=0.003 iter=7500/7500 loss=0.5275
  derivmatch lr=0.003 iter=7500/7500 loss=0.4081
  derivmatch lr=0.001 iter=375/7500 loss=0.3774
  derivmatch lr=0.001 iter=750/7500 loss=0.3678
  derivmatch lr=0.001 iter=1125/7500 loss=0.3665
  derivmatch lr=0.001 iter=1500/7500 loss=0.3685
  derivmatch lr=0.001 iter=1875/7500 loss=0.3598
  derivmatch lr=0.001 iter=2250/7500 loss=0.3639
  derivmatch lr=0.001 iter=2625/7500 loss=0.3461
  derivmatch lr=0.001 iter=3000/7500 loss=0.3556
  derivmatch lr=0.001 iter=3375/7500 loss=0.3537
  derivmatch lr=0.001 iter=3750/7500 loss=0.3484
  derivmatch lr=0.001 iter=4125/7500 loss=0.3803
  derivmatch lr=0.001 iter=4500/7500 loss=0.3693
  derivmatch lr=0.001 iter=4875/7500 loss=0.3779
  derivmatch lr=0.001 iter=5250/7500 loss=0.3621
  derivmatch lr=0.001 iter=5625/7500 loss=0.3463
  derivmatch lr=0.001 iter=6000/7500 loss=0.3725
  derivmatch lr=0.001 iter=6375/7500 loss=0.3394
  derivmatch lr=0.001 iter=6750/7500 loss=0.3877
  derivmatch lr=0.001 iter=7125/7500 loss=0.3444
  derivmatch lr=0.001 iter=7500/7500 loss=0.3298
  derivmatch lr=0.001 iter=7500/7500 loss=0.3268
  derivmatch lr=0.0003 iter=240/4800 loss=0.3248
  derivmatch lr=0.0003 iter=480/4800 loss=0.323
  derivmatch lr=0.0003 iter=720/4800 loss=0.3238
  derivmatch lr=0.0003 iter=960/4800 loss=0.3217
  derivmatch lr=0.0003 iter=1200/4800 loss=0.322
  derivmatch lr=0.0003 iter=1440/4800 loss=0.3212
  derivmatch lr=0.0003 iter=1680/4800 loss=0.3205
  derivmatch lr=0.0003 iter=1920/4800 loss=0.3198
  derivmatch lr=0.0003 iter=2160/4800 loss=0.3191
  derivmatch lr=0.0003 iter=2400/4800 loss=0.3183
  derivmatch lr=0.0003 iter=2640/4800 loss=0.3175
  derivmatch lr=0.0003 iter=2880/4800 loss=0.3167
  derivmatch lr=0.0003 iter=3120/4800 loss=0.3158
  derivmatch lr=0.0003 iter=3360/4800 loss=0.3149
  derivmatch lr=0.0003 iter=3600/4800 loss=0.314
  derivmatch lr=0.0003 iter=3840/4800 loss=0.3131
  derivmatch lr=0.0003 iter=4080/4800 loss=0.3121
  derivmatch lr=0.0003 iter=4320/4800 loss=0.3111
  derivmatch lr=0.0003 iter=4560/4800 loss=0.3102
  derivmatch lr=0.0003 iter=4800/4800 loss=0.3092
  derivmatch lr=0.0003 iter=4800/4800 loss=0.3088
derivative matching [41s]  fitloss=0.309
  [derivative matching]  nrmse=1.186  l2=0.001949
