Task 9/214: --problem pollu --model stiff --profile fast --seed 15 --pretraining derivmatch --training shapovalova
Logging to /home/txenakis/projects/BVPsolver/logs/run_main_20252509_9.log
Precompiling packages...
    StiffNN Being precompiled by another machine (hostname: node1608, pid: 557389, pidfile: /home/txenakis/.julia/compiled/v1.12/StiffNN/YZ2jX_slr9s.ji.pidfile)
  44566.5 ms  ✓ StiffNN
  1 dependency successfully precompiled in 67 seconds. 596 already precompiled.
┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=stiff d=20 tlen=50 profile=fast seed=15  solver=Rodas5  N=4744
  derivmatch lr=0.01 iter=510/10200 loss=0.05332
  derivmatch lr=0.01 iter=1020/10200 loss=0.01803
  derivmatch lr=0.01 iter=1530/10200 loss=0.01537
  derivmatch lr=0.01 iter=2040/10200 loss=0.00952
  derivmatch lr=0.01 iter=2550/10200 loss=0.004549
  derivmatch lr=0.01 iter=3060/10200 loss=0.003531
  derivmatch lr=0.01 iter=3570/10200 loss=0.002546
  derivmatch lr=0.01 iter=4080/10200 loss=0.002499
  derivmatch lr=0.01 iter=4590/10200 loss=0.002016
  derivmatch lr=0.01 iter=5100/10200 loss=0.002342
  derivmatch lr=0.01 iter=5610/10200 loss=0.002429
  derivmatch lr=0.01 iter=6120/10200 loss=0.001895
  derivmatch lr=0.01 iter=6630/10200 loss=0.001917
  derivmatch lr=0.01 iter=7140/10200 loss=0.001626
  derivmatch lr=0.01 iter=7650/10200 loss=0.001727
  derivmatch lr=0.01 iter=8160/10200 loss=0.001821
  derivmatch lr=0.01 iter=8670/10200 loss=0.001355
  derivmatch lr=0.01 iter=9180/10200 loss=0.002239
  derivmatch lr=0.01 iter=9690/10200 loss=0.001059
  derivmatch lr=0.01 iter=10200/10200 loss=0.001189
  derivmatch lr=0.01 iter=10200/10200 loss=0.0003313
  derivmatch lr=0.003 iter=375/7500 loss=0.0001358
  derivmatch lr=0.003 iter=750/7500 loss=0.0001155
  derivmatch lr=0.003 iter=1125/7500 loss=0.0001016
  derivmatch lr=0.003 iter=1500/7500 loss=0.0002851
  derivmatch lr=0.003 iter=1875/7500 loss=0.0001852
  derivmatch lr=0.003 iter=2250/7500 loss=0.0002289
  derivmatch lr=0.003 iter=2625/7500 loss=0.0003314
  derivmatch lr=0.003 iter=3000/7500 loss=0.0002685
  derivmatch lr=0.003 iter=3375/7500 loss=8.432e-5
  derivmatch lr=0.003 iter=3750/7500 loss=0.0001212
  derivmatch lr=0.003 iter=4125/7500 loss=6.813e-5
  derivmatch lr=0.003 iter=4500/7500 loss=0.000107
  derivmatch lr=0.003 iter=4875/7500 loss=0.0003015
  derivmatch lr=0.003 iter=5250/7500 loss=0.0001666
  derivmatch lr=0.003 iter=5625/7500 loss=4.145e-5
  derivmatch lr=0.003 iter=6000/7500 loss=9.325e-5
  derivmatch lr=0.003 iter=6375/7500 loss=4.806e-5
  derivmatch lr=0.003 iter=6750/7500 loss=5.265e-5
  derivmatch lr=0.003 iter=7125/7500 loss=0.0001369
  derivmatch lr=0.003 iter=7500/7500 loss=6.616e-5
  derivmatch lr=0.003 iter=7500/7500 loss=3.698e-5
  derivmatch lr=0.001 iter=375/7500 loss=3.595e-5
  derivmatch lr=0.001 iter=750/7500 loss=3.583e-5
  derivmatch lr=0.001 iter=1125/7500 loss=3.376e-5
  derivmatch lr=0.001 iter=1500/7500 loss=3.253e-5
  derivmatch lr=0.001 iter=1875/7500 loss=4.69e-5
  derivmatch lr=0.001 iter=2250/7500 loss=3.357e-5
  derivmatch lr=0.001 iter=2625/7500 loss=3.019e-5
  derivmatch lr=0.001 iter=3000/7500 loss=2.82e-5
  derivmatch lr=0.001 iter=3375/7500 loss=5.118e-5
  derivmatch lr=0.001 iter=3750/7500 loss=0.0001245
  derivmatch lr=0.001 iter=4125/7500 loss=0.0001096
  derivmatch lr=0.001 iter=4500/7500 loss=6.342e-5
  derivmatch lr=0.001 iter=4875/7500 loss=2.049e-5
  derivmatch lr=0.001 iter=5250/7500 loss=1.969e-5
  derivmatch lr=0.001 iter=5625/7500 loss=2.786e-5
  derivmatch lr=0.001 iter=6000/7500 loss=1.8e-5
  derivmatch lr=0.001 iter=6375/7500 loss=1.672e-5
  derivmatch lr=0.001 iter=6750/7500 loss=1.563e-5
  derivmatch lr=0.001 iter=7125/7500 loss=3.371e-5
  derivmatch lr=0.001 iter=7500/7500 loss=1.859e-5
  derivmatch lr=0.001 iter=7500/7500 loss=1.413e-5
  derivmatch lr=0.0003 iter=240/4800 loss=1.377e-5
  derivmatch lr=0.0003 iter=480/4800 loss=1.361e-5
  derivmatch lr=0.0003 iter=720/4800 loss=1.34e-5
  derivmatch lr=0.0003 iter=960/4800 loss=1.315e-5
  derivmatch lr=0.0003 iter=1200/4800 loss=1.287e-5
  derivmatch lr=0.0003 iter=1440/4800 loss=1.255e-5
  derivmatch lr=0.0003 iter=1680/4800 loss=1.223e-5
  derivmatch lr=0.0003 iter=1920/4800 loss=1.194e-5
  derivmatch lr=0.0003 iter=2160/4800 loss=1.173e-5
  derivmatch lr=0.0003 iter=2400/4800 loss=2.149e-5
  derivmatch lr=0.0003 iter=2640/4800 loss=1.107e-5
  derivmatch lr=0.0003 iter=2880/4800 loss=1.114e-5
  derivmatch lr=0.0003 iter=3120/4800 loss=2.187e-5
  derivmatch lr=0.0003 iter=3360/4800 loss=1.036e-5
  derivmatch lr=0.0003 iter=3600/4800 loss=1.014e-5
  derivmatch lr=0.0003 iter=3840/4800 loss=1.246e-5
  derivmatch lr=0.0003 iter=4080/4800 loss=3.156e-5
  derivmatch lr=0.0003 iter=4320/4800 loss=9.778e-6
  derivmatch lr=0.0003 iter=4560/4800 loss=9.423e-6
  derivmatch lr=0.0003 iter=4800/4800 loss=1.069e-5
  derivmatch lr=0.0003 iter=4800/4800 loss=9.284e-6
derivative matching [60s]  fitloss=9.28e-6
  [derivative matching]  nrmse=0.06081  l2=0.00358
