Task 0/1800: --problem pollu --model stiff --profile fast --seed 100 --pretraining derivmatch --training shooting
Logging to /home/txenakis/projects/BVPsolver/logs/run_main_23493023_0.log
┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=stiff width=32 d=20 tlen=50 profile=fast seed=100  solver=Rodas5  N=4744
  derivmatch lr=0.01 iter=510/10200 loss=0.03585
  derivmatch lr=0.01 iter=1020/10200 loss=0.05776
  derivmatch lr=0.01 iter=1530/10200 loss=0.01023
  derivmatch lr=0.01 iter=2040/10200 loss=0.004037
  derivmatch lr=0.01 iter=2550/10200 loss=0.003128
  derivmatch lr=0.01 iter=3060/10200 loss=0.002193
  derivmatch lr=0.01 iter=3570/10200 loss=0.001831
  derivmatch lr=0.01 iter=4080/10200 loss=0.001189
  derivmatch lr=0.01 iter=4590/10200 loss=0.001028
  derivmatch lr=0.01 iter=5100/10200 loss=0.0064
  derivmatch lr=0.01 iter=5610/10200 loss=0.002124
  derivmatch lr=0.01 iter=6120/10200 loss=0.001451
  derivmatch lr=0.01 iter=6630/10200 loss=0.001055
  derivmatch lr=0.01 iter=7140/10200 loss=0.0009797
  derivmatch lr=0.01 iter=7650/10200 loss=0.001752
  derivmatch lr=0.01 iter=8160/10200 loss=0.001258
  derivmatch lr=0.01 iter=8670/10200 loss=0.001048
  derivmatch lr=0.01 iter=9180/10200 loss=0.0006583
  derivmatch lr=0.01 iter=9690/10200 loss=0.001299
  derivmatch lr=0.01 iter=10200/10200 loss=0.0006381
  derivmatch lr=0.01 iter=10200/10200 loss=0.0002457
  derivmatch lr=0.003 iter=375/7500 loss=0.0001558
  derivmatch lr=0.003 iter=750/7500 loss=0.0001184
  derivmatch lr=0.003 iter=1125/7500 loss=9.606e-5
  derivmatch lr=0.003 iter=1500/7500 loss=9.313e-5
  derivmatch lr=0.003 iter=1875/7500 loss=6.832e-5
  derivmatch lr=0.003 iter=2250/7500 loss=0.0001166
  derivmatch lr=0.003 iter=2625/7500 loss=0.0001178
  derivmatch lr=0.003 iter=3000/7500 loss=0.0001324
  derivmatch lr=0.003 iter=3375/7500 loss=5.954e-5
  derivmatch lr=0.003 iter=3750/7500 loss=4.452e-5
  derivmatch lr=0.003 iter=4125/7500 loss=0.0002059
  derivmatch lr=0.003 iter=4500/7500 loss=2.858e-5
  derivmatch lr=0.003 iter=4875/7500 loss=0.0001197
  derivmatch lr=0.003 iter=5250/7500 loss=3.448e-5
  derivmatch lr=0.003 iter=5625/7500 loss=9.745e-5
  derivmatch lr=0.003 iter=6000/7500 loss=2.847e-5
  derivmatch lr=0.003 iter=6375/7500 loss=3.931e-5
  derivmatch lr=0.003 iter=6750/7500 loss=3.863e-5
