t,lambda1_true,lambda2_true,lambda1_learned,lambda2_learned,is_train
0.0,299.9966666296288,0.0033333703711946328,291.25898657231716,0.0004132074753897541,1.0
0.004725771250047889,299.99752509517197,0.0033968993181474616,291.14963176710677,0.004201482364464937,1.0
0.008196634570648946,299.99106223144133,0.00479332179912717,291.12565914522247,0.004997524864052139,1.0
0.01409319806776235,299.97660090092677,0.005424919524500638,291.1055821609813,0.005359097519431089,1.0
0.0205758763196155,299.9595381523225,0.0055374461649648765,291.08983982556725,0.005424007347016868,1.0
0.03033369765832203,299.93355286483956,0.005555966514805277,291.0677370828621,0.0054353484391072016,1.0
0.04388531711626388,299.89741638993354,0.0055580456573238735,291.037288314351,0.00543755992498518,1.0
0.06716055072684812,299.835344747753,0.005559700603726014,290.9850083700147,0.005440259444242201,1.0
0.11178082192735345,299.7163398667165,0.005562794383934033,290.88477202363043,0.005445384409767939,1.0
0.20954937705823706,299.45554405503924,0.0055695794177381686,290.66508285463885,0.0054565943013358265,1.0
0.41945808033414095,298.895424307779,0.005584201654585286,290.1931386232805,0.005480586515886898,1.0
0.7876369860596237,297.9123407418014,0.005610034773496864,289.3644591069041,0.005522425360311445,1.0
1.3162333160935913,296.4994954623332,0.005647546539876203,288.1727576370436,0.005581964394878014,1.0
1.9885872758875505,294.6999542522067,0.005695997097916461,286.65367497678176,0.005656822323089727,1.0
2.8171521098027723,292.4790686609899,0.005756860894507554,284.7772115024495,0.0057477628672018,1.0
3.344316192774593,291.06357994126535,0.005796295477523472,283.5803584379704,0.005804933892648023,1.0
4.486362185807343,287.9907201454709,0.005883530655978575,280.9801000747864,0.005926962503224331,1.0
5.6284081788400915,284.9093927788836,0.005973520751524575,278.370403479767,0.006046769856766332,1.0
6.799438922864771,281.7408400346738,0.006068801559422354,275.6851414116045,0.00616755626504073,1.0
9.46731300394923,274.4868108232723,0.006297521044928089,269.5349694192647,0.006436007362708551,1.0
13.723743434456843,262.80539391165047,0.00670065554663779,259.64258927124115,0.006852339848364863,1.0
19.27885033973058,247.33942768056363,0.00731200182249836,246.6247337140443,0.007396994071996232,1.0
25.419755949702754,229.91030970379967,0.008132883843643413,232.16571061291074,0.008049568042622468,1.0
32.72219295510629,208.64320816722847,0.009386764450113105,214.99417759902622,0.009000393761738223,1.0
40.34206792055274,185.67048285544072,0.011186794065025651,197.21289609558917,0.01039381764138625,1.0
47.97711169119414,161.60087623165614,0.013845515672443298,179.52551752525494,0.012563949354046144,1.0
55.612155461835535,136.06164490506296,0.018151036155245492,161.60263501853416,0.016254368289395416,1.0
61.968968256712614,113.13687854709015,0.024460174268710944,145.63177221913114,0.021826367561004645,1.0
65.14737465415115,100.84185502279487,0.02957823031086093,136.72938784679528,0.02641967914507859,1.0
69.84302449064631,81.12614497057814,0.042702455090207536,121.15833305924255,0.038438055513921654,1.0
72.99243526958523,66.29167117634368,0.06056901228882339,107.6022527034375,0.055287590486784666,1.0
74.6010905626912,57.910336251164225,0.07686080116640426,98.89360507163688,0.07102315189479214,1.0
75.75079997065934,51.4246442239476,0.09500490362363223,91.48698759820155,0.08882879251538611,1.0
