t,y1,y2
0.0,2.0,0.0
0.004836415431103662,1.9999855440868495,-0.004757835866241164
0.008417042313487309,1.9999653998636229,-0.005758124165809508
0.014481334705868739,1.999926599463886,-0.0062093911966162795
0.021166972201592978,1.999882249494754,-0.0062901285962471696
0.031227671075437495,1.9998150990893147,-0.006303384051648024
0.04521233777913204,1.999721688254781,-0.006304857892050083
0.06926842268626247,1.9995609842223687,-0.0063060204581198934
0.11538555738883416,1.9992528477572213,-0.0063081928916086955
0.21680575015733755,1.9985749395865695,-0.006312975558028755
0.4383747680885458,1.9970926975349992,-0.0063234678738148435
0.833965135059541,1.994442034823026,-0.006342353962884009
1.0025062656641603,1.9933110495275583,-0.00635045778106728
1.4128576709784202,1.990553197215548,-0.006370351294290449
2.0050125313283207,1.9865628537583058,-0.006399460417284608
2.1525088126665968,1.9855669476428066,-0.006406758520355667
3.007518796992481,1.9797780973669725,-0.006449780450450313
3.067375975621081,1.9793718180848656,-0.006452827368033965
4.010025062656641,1.9729557896231875,-0.006501467116857542
4.669799640946016,1.9684448891784123,-0.006536256787254751
5.012531328320802,1.9660949396319087,-0.006554570638380472
6.015037593984962,1.9591945505627115,-0.006609130793579142
7.017543859649122,1.9522536048433203,-0.006665190900138507
8.020050125313283,1.9452710817920287,-0.006722779773482643
8.355528350235815,1.9429249914868942,-0.006742397685928699
9.022556390977444,1.9382459603271667,-0.006781944179792399
10.025062656641603,1.9311771916076894,-0.006842770506689374
11.027568922305765,1.9240636978402699,-0.006905289918893868
12.030075187969924,1.916904400248476,-0.006969528998743358
12.428619011911092,1.9140452760388953,-0.00699555069990351
13.032581453634085,1.9096982229123394,-0.007035534105793964
14.035087719298245,1.902444050221512,-0.007103415838444864
15.037593984962406,1.895140694363569,-0.007173217181680494
16.040100250626566,1.887786963298827,-0.007244972719380197
17.04260651629073,1.8803816649876017,-0.007318717035423307
17.664225028037382,1.875763478951778,-0.007365457344040966
18.045112781954888,1.872923613040426,-0.007394495846825779
19.047619047619047,1.8654115972366,-0.007472460082544729
20.050125313283207,1.8578442171536937,-0.007552682474204998
21.05263157894737,1.850220042022074,-0.0076352066818430545
22.05513784461153,1.8425376410721082,-0.0077200763654953625
23.05764411027569,1.8347955835341627,-0.00780733518519839
