metric,problem,model,stage,slope,intercept,r2,n_points
pointwise,rober,GELU-scaled,collocation,0.44914708120212116,-0.07944252013647347,0.7316280548349404,459
pointwise,rober,GELU-scaled,derivmatch,0.2775023068679482,-0.22848893459779424,0.6290617758344854,950
pointwise,rober,GELU-scaled,shooting,0.26463924094846536,-0.3830019789355682,0.6503753619736385,382
pointwise,rober,stiff,collocation,0.21871649379706848,-1.297301872941541,0.17346372809513022,500
pointwise,rober,stiff,derivmatch,0.23767869703993388,-1.4645488496555936,0.2317504894277801,1000
pointwise,rober,stiff,shooting,0.24602245212511323,-1.4984198865022036,0.21768370864603326,500
pointwise,vanderpol,GELU-scaled,collocation,0.7549888790527055,1.6155779021653878,0.28894508027193355,1508
pointwise,vanderpol,GELU-scaled,derivmatch,0.7133022263073384,1.6918531765877372,0.26910382124091137,2865
pointwise,vanderpol,GELU-scaled,shooting,0.5014971670246675,2.1146126318052256,0.1633523799034451,1359
pointwise,vanderpol,stiff,collocation,0.04075859950445734,2.889451726179757,0.0004490228580339428,1510
pointwise,vanderpol,stiff,derivmatch,0.12366572171328996,2.6332677147043864,0.004388566290673301,3020
pointwise,vanderpol,stiff,shooting,0.10982290489312425,2.6622233755179376,0.0033144934866243814,1510
trajectory,rober,GELU-scaled,collocation,-0.8685698217567995,-1.8296014438119885,0.38284896875903296,449
trajectory,rober,GELU-scaled,derivmatch,-1.1751275308144569,-2.0688088926807824,0.48891707269761775,930
trajectory,rober,GELU-scaled,shooting,-0.5348566260431772,-2.708605955694037,0.22154278330318045,373
trajectory,rober,stiff,collocation,-1.4013670737937527,-0.34558678101080703,0.38273167762959615,490
trajectory,rober,stiff,derivmatch,-1.7784506472420556,0.5957465524414675,0.7418590795405098,980
trajectory,rober,stiff,shooting,-1.8024347258539655,0.659985132582629,0.7285809503664358,490
trajectory,vanderpol,GELU-scaled,collocation,0.32238628333413466,1.8224329774905401,0.009372894563995371,1498
trajectory,vanderpol,GELU-scaled,derivmatch,0.6925278154251328,2.750468403272924,0.003235959704724345,2846
trajectory,vanderpol,GELU-scaled,shooting,0.09276124696952723,1.258978449872699,0.0009684046913960298,1350
trajectory,vanderpol,stiff,collocation,-0.3978576834342146,7.719953237392565,0.004542252063563734,1500
trajectory,vanderpol,stiff,derivmatch,-1.1384628236723546,8.973426975845124,0.02626628054051794,3000
trajectory,vanderpol,stiff,shooting,-1.0223506194851233,7.6389548542783725,0.016876095354680376,1500
