run_dir,collocation_time,computer,derivmatch_time,err-file,init,model,n_params,ncol,out-file,param,pretraining,problem,profile,seed,shapovalova_time,shoot-iters,shooting_time,sigma,timestamp,training,training_time,cfg.amr_rounds,cfg.depth,cfg.dm_iters,cfg.hidden,cfg.lm_iters,cfg.signed_loss,cfg.linsolve,use_collocation,use_derivmatch,shapovalova,shooting
run_nOg5FpnQ,0.0,orcd,28.562067326,/home/txenakis/projects/BVPsolver/logs/array_20198490_426.err,default,stiff,486,0,/home/txenakis/projects/BVPsolver/logs/array_20198490_426.out,none,derivmatch,orego,fast,12,0.0,1000,6662.152942336,0.0,2026-08-11T13:21:57.779,shooting,6690.715009662,1,2,10000,16,150,False,,,,,
run_nRysN9Qk,14.471371244,orcd,25.282048846,/home/txenakis/projects/BVPsolver/logs/array_20140853_174.err,default,mlp,243,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_174.out,none,derivmatch,rober,fast,15,0.0,1000,0.0,0.0,2026-08-11T02:06:46.967,collocation,39.75342009,1,2,10000,12,150,False,,,,,
run_nTpSMPIt,0.0,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_72.err,default,GELU-scaled,650,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_72.out,none,none,pollu,fast,13,0.0,1000,4371.649356958,0.0,2026-08-11T01:25:18.248,shooting,4371.649356958,1,3,30000,32,150,False,,,,,
run_nWQDSAxq,0.0,orcd,33.043412555,/home/txenakis/projects/BVPsolver/logs/array_20198490_534.err,default,stiff,268,0,/home/txenakis/projects/BVPsolver/logs/array_20198490_534.out,none,derivmatch,davis-skodje,fast,15,0.0,1000,413.881390397,0.0,2026-08-11T13:43:18.234,shooting,446.92480295200005,3,2,10000,12,150,False,,,,,
run_nhqWCGfx,0.0,orcd,23.334646927,/home/txenakis/projects/BVPsolver/logs/array_20140853_157.err,default,mlp,243,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_157.out,none,derivmatch,rober,fast,13,2168.432756122,1000,0.0,0.0,2026-08-11T02:36:45.674,shapovalova,2191.7674030489998,1,2,10000,12,150,False,,,,,
run_nlZ8shuX,129.700924249,orcd,23.285167645,/home/txenakis/projects/BVPsolver/logs/array_20198490_383.err,default,mlp,552,0,/home/txenakis/projects/BVPsolver/logs/array_20198490_383.out,none,derivmatch,hires,fast,14,0.0,1000,0.0,0.0,2026-08-11T10:22:40.387,collocation,152.986091894,1,2,10000,16,150,False,qr,,,,
run_nqd9dVSR,0.0,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20198490_528.err,default,stiff,268,0,/home/txenakis/projects/BVPsolver/logs/array_20198490_528.out,none,none,davis-skodje,fast,14,0.0,1000,597.096990679,0.0,2026-08-11T13:37:56.794,shooting,597.096990679,3,2,10000,12,150,False,,,,,
run_o3sEwFFD,0.0,orcd,31.619035502,/home/txenakis/projects/BVPsolver/logs/array_20198490_545.err,default,stiff,268,0,/home/txenakis/projects/BVPsolver/logs/array_20198490_545.out,none,derivmatch,davis-skodje,fast,11,0.0,1000,0.0,0.0,2026-08-11T13:43:53.105,none,31.619035502,3,2,10000,12,150,False,,,,,
run_o51JAwNG,5865.001509896,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_25.err,default,stiff,4744,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_25.out,none,none,pollu,fast,11,0.0,1000,0.0,0.0,2026-08-11T00:21:40.173,collocation,5865.001509896,1,3,30000,32,150,False,,,,,
run_oWHPVUe5,0.0,orcd,30.217100433,/home/txenakis/projects/BVPsolver/logs/array_20140853_129.err,default,stiff,318,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_129.out,none,derivmatch,rober,fast,15,0.0,1000,0.0,0.0,2026-08-11T01:44:51.332,none,30.217100433,1,2,10000,12,150,False,,,,,
run_ouElOdMl,162.435930372,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20198490_344.err,default,stiff,816,0,/home/txenakis/projects/BVPsolver/logs/array_20198490_344.out,none,none,hires,fast,15,0.0,1000,0.0,0.0,2026-08-11T10:14:47.042,collocation,162.435930372,1,2,10000,16,150,False,qr,,,,
run_ow0vRVA0,32.773572956,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_271.err,default,mlp,218,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_271.out,none,none,vanderpol,fast,12,0.0,1000,0.0,0.0,2026-08-11T03:02:34.016,collocation,32.773572956,1,2,10000,12,150,True,,,,,
run_p9raW33U,0.0,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_249.err,default,mlp,218,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_249.out,none,none,vanderpol,fast,15,0.0,1000,134.906705302,0.0,2026-08-11T02:52:55.784,shooting,134.906705302,1,2,10000,12,150,True,,,,,
run_p9zfxtZW,0.0,orcd,25.952498125,/home/txenakis/projects/BVPsolver/logs/array_20140853_162.err,default,mlp,243,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_162.out,none,derivmatch,rober,fast,13,0.0,1000,0.0,0.0,2026-08-11T02:01:55.916,none,25.952498125,1,2,10000,12,150,False,,,,,
