t,lambda1_true,lambda2_true,lambda1_learned,lambda2_learned,is_train
0.0,299.9966666296288,0.0033333703711946328,114.58468981616676,0.02764129164073381,1.0
0.004725771250047889,299.99752509517197,0.0033968993181474616,115.28915179887758,0.028842611004961327,1.0
0.008196634570648946,299.99106223144133,0.00479332179912717,115.41153750909946,0.02904692092312189,1.0
0.01409319806776235,299.97660090092677,0.005424919524500638,115.4636763576127,0.029132861228134743,1.0
0.0205758763196155,299.9595381523225,0.0055374461649648765,115.47186845499348,0.029145506047058234,1.0
0.03033369765832203,299.93355286483956,0.005555966514805277,115.47171126068748,0.02914378323356459,1.0
0.04388531711626388,299.89741638993354,0.0055580456573238735,115.46954199164406,0.029138149191638263,1.0
0.06716055072684812,299.835344747753,0.005559700603726014,115.46565688697433,0.029128207683328355,1.0
0.11178082192735345,299.7163398667165,0.005562794383934033,115.4581975884771,0.029109129621986085,1.0
0.20954937705823706,299.45554405503924,0.0055695794177381686,115.44183186387491,0.029067288134243086,1.0
0.41945808033414095,298.895424307779,0.005584201654585286,115.40659685649698,0.02897727665205707,1.0
0.7876369860596237,297.9123407418014,0.005610034773496864,115.34447028177684,0.028818809739036055,1.0
1.3162333160935913,296.4994954623332,0.005647546539876203,115.25454374770203,0.028589986530647593,1.0
1.9885872758875505,294.6999542522067,0.005695997097916461,115.13889447833061,0.02829668908195515,1.0
2.8171521098027723,292.4790686609899,0.005756860894507554,114.99442213556931,0.027931873937404816,1.0
3.344316192774593,291.06357994126535,0.005796295477523472,114.90131896757755,0.02769772284491978,1.0
4.486362185807343,287.9907201454709,0.005883530655978575,114.6963884087595,0.0271850257532833,1.0
5.6284081788400915,284.9093927788836,0.005973520751524575,114.48694220613818,0.02666495138626601,1.0
6.799438922864771,281.7408400346738,0.006068801559422354,114.26731510089671,0.026123987920243508,1.0
9.46731300394923,274.4868108232723,0.006297521044928089,113.74751391735046,0.024862386710722717,1.0
13.723743434456843,262.80539391165047,0.00670065554663779,112.85723386556842,0.022766698113557027,1.0
19.27885033973058,247.33942768056363,0.00731200182249836,111.56652787244343,0.019887497210731908,1.0
25.419755949702754,229.91030970379967,0.008132883843643413,109.93891473655475,0.01655178390504375,1.0
32.72219295510629,208.64320816722847,0.009386764450113105,107.66885324548957,0.012504661813608209,1.0
40.34206792055274,185.67048285544072,0.011186794065025651,104.81767715620059,0.008511046980032688,1.0
47.97711169119414,161.60087623165614,0.013845515672443298,101.33158959255654,0.005368361688255163,1.0
55.612155461835535,136.06164490506296,0.018151036155245492,97.01375082674689,0.004007301806694841,1.0
61.968968256712614,113.13687854709015,0.024460174268710944,92.52105556261499,0.004644877574008888,1.0
65.14737465415115,100.84185502279487,0.02957823031086093,89.8224196226553,0.005121255043945894,1.0
69.84302449064631,81.12614497057814,0.042702455090207536,84.92887077830532,0.0030849563763979404,1.0
72.99243526958523,66.29167117634368,0.06056901228882339,80.59054665101554,0.0060290673302318964,1.0
74.6010905626912,57.910336251164225,0.07686080116640426,77.7824440013551,0.017778127380651654,1.0
75.75079997065934,51.4246442239476,0.09500490362363223,75.38238851088428,0.03251802758425981,1.0
77.11597352932317,42.94559932711857,0.13159179043434222,71.88849217672991,0.06348738743757565,1.0
77.79856030865508,38.25250133609803,0.1626123669301549,69.75978346293606,0.08915183327773946,1.0
78.70357040762126,31.31650054014603,0.23543575141660256,66.34126702140327,0.1448238319654962,1.0
79.37089529081224,25.3957452659213,0.348590470212919,63.15049877950362,0.2199692371363966,1.0
79.70455773240774,22.029643313855157,0.4560384328105478,61.19157861711682,0.2822574701245131,1.0
80.01209382984352,18.569556731642344,0.6315458317087561,58.965889234104026,0.3717223131421221,1.0
80.25810052408812,15.461132850813502,0.8986216142506116,56.522789468761786,0.489922869620969,1.0
80.45094695453307,12.752566220871026,1.3099343162215344,53.495537605787156,0.6488133283023174,1.0
80.60391058558535,10.43522068569213,1.9647418882389562,49.249012310897385,0.8758415502206205,1.0
80.72706563755867,8.551817992032566,3.029820022956546,43.23687779335056,1.2288836842242787,1.0
80.82719626856229,7.197275875847079,4.73526169900637,36.10360591203293,1.806551685867639,1.0
80.91194301192803,7.456572356899549,6.429567840757478,30.491023331942976,2.6631349937064357,1.0
80.96961374131999,10.643077070114874,6.302707188894155,22.34313347933512,4.6583535458051095,1.0
81.01790329127147,14.967339990424133,6.649962768739147,135.7639727575729,0.06916474997052546,1.0
81.04975153031909,19.4125298483908,7.292186008886079,13.575784083081214,13.575784083081214,1.0
81.08271348532469,26.73744868608567,8.63813618587352,26.904532412877284,1.6734995116347875,1.0
81.09923556522999,32.377785046537795,9.79385263667665,38.96345106827308,0.21943803405206097,1.0
81.1186232064052,42.27288141984548,11.920526909731525,19.526003048216452,2.5381743067244287,1.0
81.12895774140017,50.02505700940485,13.608346999000894,209.2814562635532,1.5662458009875593,1.0
81.1400405260906,61.62631144871341,16.08388029444786,144.53616899297833,18.322070644236902,1.0
81.15112331078103,78.65668907502648,19.407372213035323,86.11582631366723,8.27027890481267,1.0
