t,y1,y2,is_train
0.0,2.0,0.0,1.0
0.004725771250047889,1.999985320435762,-0.005047690520080256,1.0
0.008196634570648946,1.9999656719795023,-0.006094988859794734,1.0
0.01409319806776235,1.9999279386552964,-0.0065686089692032395,1.0
0.0205758763196155,1.9998849984590552,-0.00665290703275397,1.0
0.03033369765832203,1.9998199841443847,-0.006666651992517716,1.0
0.04388531711626388,1.99972962758538,-0.006668010255043889,1.0
0.06716055072684812,1.9995744173377226,-0.0066689059534166895,1.0
0.11178082192735345,1.9992768119305855,-0.006670562966232371,1.0
0.20954937705823706,1.9986244631636567,-0.0066741938865141764,1.0
0.41945808033414095,1.9972226718774362,-0.006682009874352847,1.0
0.7876369860596237,1.9947599622687135,-0.006695789572509596,1.0
1.3162333160935913,1.9912153271703021,-0.006715734514414696,1.0
1.9885872758875505,1.986691365701046,-0.006741384521052362,1.0
2.8171521098027723,1.9810939195305592,-0.006773432815020676,1.0
3.344316192774593,1.9775181001593585,-0.006794098400099041,1.0
4.486362185807343,1.9697330697706603,-0.0068395110788529966,1.0
5.6284081788400915,1.9618955610789583,-0.006885973503552666,1.0
6.799438922864771,1.9538033965399753,-0.006934754167567819,1.0
9.46731300394923,1.935149899367559,-0.007050064877676382,1.0
13.723743434456843,1.9047275218679018,-0.007247672931420385,1.0
19.27885033973058,1.8636848330089,-0.007534928374780453,1.0
25.419755949702754,1.8163209430603282,-0.007900128703136113,1.0
32.72219295510629,1.7567977157395736,-0.008420106147321667,1.0
40.34206792055274,1.6901458400427334,-0.009102934737212109,1.0
47.97711169119414,1.617365236166475,-0.010008399439247003,1.0
55.612155461835535,1.5363707035377487,-0.0112917404244532,1.0
61.968968256712614,1.459837040127498,-0.012903316130242983,1.0
65.14737465415115,1.4170824845169883,-0.014052546892481685,1.0
69.84302449064631,1.34567248064114,-0.016587563565692097,1.0
72.99243526958523,1.289306411075563,-0.01944929848732785,1.0
74.6010905626912,1.256317935277523,-0.021694487864156984,1.0
75.75079997065934,1.2301611248951252,-0.023922042605913223,1.0
77.11597352932317,1.195048147719096,-0.027828536948181826,1.0
77.79856030865508,1.1751165430252775,-0.030721760433536763,1.0
78.70357040762126,1.1449063926309846,-0.036566412286189454,1.0
79.37089529081224,1.1182448515227261,-0.04405437132233811,1.0
79.70455773240774,1.1026042122223396,-0.05009215405572209,1.0
80.01209382984352,1.0859926836767069,-0.05859858147228958,1.0
80.25810052408812,1.0703387839210672,-0.06957473831780502,1.0
80.45094695453307,1.0556639233423177,-0.08385729454763868,1.0
80.60391058558535,1.0414916168527386,-0.10322942041134694,1.0
80.72706563755867,1.0272390080651923,-0.13098446015804183,1.0
80.82719626856229,1.012235220572969,-0.173284746860635,1.0
80.91194301192803,0.9948517250518186,-0.24597905695772537,1.0
80.96961374131999,0.978057412010048,-0.348037842798272,1.0
81.01790329127147,0.9575104322059108,-0.524966884443102,1.0
81.04975153031909,0.9374414976972978,-0.7603662676961612,1.0
81.08271348532469,0.9049899861312712,-1.2815706613772762,1.0
81.09923556522999,0.8798640098909538,-1.8076842095587486,1.0
81.1186232064052,0.8345516490301007,-3.025067538383992,1.0
81.12895774140017,0.7973913091424815,-4.274929552229189,1.0
81.1400405260906,0.7379537170157384,-6.72257753739526,1.0
81.15112331078103,0.6383626174676025,-11.964356935433736,1.0
81.15849708708973,0.5258157192576867,-19.397963371094082,1.0
81.16587086339842,0.3324443015798316,-35.11827519033452,1.0
81.17171020208536,0.059821463509948644,-61.168454412793025,1.0
81.17676319174942,-0.3407901025366032,-99.90047741742043,1.0
81.18076443763599,-0.8069442500315012,-130.30176723138203,1.0
81.18476568352256,-1.330219011987087,-121.68879323992785,1.0
81.18876692940913,-1.718690351066955,-69.73937579448555,1.0
81.19327737933826,-1.9172697065555468,-23.894129757211374,1.0
81.19692976311289,-1.9722611831858468,-8.587809046063077,1.0
81.19954826635292,-1.9879871150488928,-3.9892653449092927,1.0
