run_dir,stage,point_index,stiffness,sensitivity_norm,trajectory_sensitivity_norm
run_00CGPQte,derivmatch,1,321.70584455906703,1445.900566279131,NaN
run_00CGPQte,derivmatch,2,259.5291359256478,1315.5391153399764,NaN
run_00CGPQte,derivmatch,3,245.76471296779343,1293.8541915631724,NaN
run_00CGPQte,derivmatch,4,239.44463791206687,1284.8065792077416,NaN
run_00CGPQte,derivmatch,5,238.22959884548328,1283.1105691059445,NaN
run_00CGPQte,derivmatch,6,237.88685694376917,1282.6006020250366,NaN
run_00CGPQte,derivmatch,7,237.64383241583883,1282.2104622262282,NaN
run_00CGPQte,derivmatch,8,237.24582313774164,1281.5690766178786,NaN
run_00CGPQte,derivmatch,9,236.48549555653932,1280.3514761480517,NaN
run_00CGPQte,derivmatch,10,234.8283494376526,1277.7333720201243,NaN
run_00CGPQte,derivmatch,11,231.312309816747,1272.3395257850605,NaN
run_00CGPQte,derivmatch,12,225.29054195206527,1263.603273369247,NaN
run_00CGPQte,derivmatch,13,216.99686841341799,1252.5743785640466,NaN
run_00CGPQte,derivmatch,14,207.11644295267428,1240.8450830279405,NaN
run_00CGPQte,derivmatch,15,196.11039990373507,1229.292080749347,NaN
run_00CGPQte,derivmatch,16,189.85111462982297,1223.202744062034,NaN
run_00CGPQte,derivmatch,17,178.4789156469418,1212.0297146535556,NaN
run_00CGPQte,derivmatch,18,170.30456698271627,1201.7541660095615,NaN
run_00CGPQte,derivmatch,19,165.31518033594392,1190.3882271309628,NaN
run_00CGPQte,derivmatch,20,165.52437289414175,1158.4347316120507,NaN
run_00CGPQte,derivmatch,21,185.7072447252412,1106.3536233542407,NaN
run_00CGPQte,derivmatch,22,210.7392566094485,1063.0255094240947,NaN
run_00CGPQte,derivmatch,23,213.80590134033986,998.0811607981266,NaN
run_00CGPQte,derivmatch,24,195.01461134250945,865.8873712438962,NaN
run_00CGPQte,derivmatch,25,165.10998823409972,700.3689009477189,NaN
run_00CGPQte,derivmatch,26,125.39669598807187,559.73667394346,NaN
run_00CGPQte,derivmatch,27,62.44720685308661,438.0241857019689,NaN
run_00CGPQte,derivmatch,28,15.167239545052803,449.33709058565137,NaN
run_00CGPQte,derivmatch,29,7.513759029603549,555.904849640109,NaN
run_00CGPQte,derivmatch,30,59.09954222842318,443.21827144124615,NaN
run_00CGPQte,derivmatch,31,75.15788106179596,357.1049821747249,NaN
run_00CGPQte,derivmatch,32,63.016783936389714,341.895803430372,NaN
run_00CGPQte,derivmatch,33,53.46661555258674,336.02933295599496,NaN
run_00CGPQte,derivmatch,34,44.68407295171201,330.8013343558532,NaN
run_00CGPQte,derivmatch,35,41.09452646785808,325.4316642251294,NaN
run_00CGPQte,derivmatch,36,35.84400084165773,310.75546918335453,NaN
run_00CGPQte,derivmatch,37,30.152057809693993,290.09671039472914,NaN
run_00CGPQte,derivmatch,38,25.995974248626247,274.0778401469527,NaN
run_00CGPQte,derivmatch,39,20.784925906997227,252.98367334728658,NaN
run_00CGPQte,derivmatch,40,15.184456125957116,227.79283461110447,NaN
run_00CGPQte,derivmatch,41,9.754477390296147,197.73657823462074,NaN
run_00CGPQte,derivmatch,42,5.490241362862199,162.53066110106582,NaN
run_00CGPQte,derivmatch,43,4.470275643405729,127.01344029243035,NaN
run_00CGPQte,derivmatch,44,7.034465933583945,107.23594730923625,NaN
run_00CGPQte,derivmatch,45,10.243939722582763,123.09779223972475,NaN
run_00CGPQte,derivmatch,46,15.751586824896323,152.5160849798481,NaN
run_00CGPQte,derivmatch,47,18.845679136664362,240.8750334484723,NaN
run_00CGPQte,derivmatch,48,27.32623604510935,385.0300127468073,NaN
run_00CGPQte,derivmatch,49,11.632595797087816,570.0790511372836,NaN
run_00CGPQte,derivmatch,50,58.48214488870401,1410.184418989972,NaN
run_00CGPQte,derivmatch,51,27.330279944617303,2903.7117378799944,NaN
run_00CGPQte,derivmatch,52,65.49572470899459,3456.427415743581,NaN
run_00CGPQte,derivmatch,53,69.06315882538541,4300.218484999511,NaN
run_00CGPQte,derivmatch,54,79.21290527739109,7937.371590774668,NaN
run_00CGPQte,derivmatch,55,127.40793324727491,11828.726400505851,NaN
run_00CGPQte,derivmatch,56,103.51128689030288,16517.531323248666,NaN
run_00CGPQte,derivmatch,57,105.65613038292607,28370.231590467865,NaN
run_00CGPQte,derivmatch,58,91.71017291148897,177133.83048446706,NaN
run_00CGPQte,derivmatch,59,133.7282657114412,464857.61014021083,NaN
run_00CGPQte,derivmatch,60,136.0913721274036,453033.44774231606,NaN
run_00CGPQte,derivmatch,61,83.79395943888714,73366.35753904971,NaN
run_00CGPQte,derivmatch,62,169.03478952989332,10552.78522861864,NaN
run_00CGPQte,derivmatch,63,213.6062919694194,6909.690694522135,NaN
run_00CGPQte,derivmatch,64,331.09517601181085,6721.875696742558,NaN
run_00CGPQte,derivmatch,65,317.66022580685313,5701.924665035231,NaN
run_00CGPQte,derivmatch,66,378.84512548438283,5408.674044621239,NaN
run_00CGPQte,derivmatch,67,348.02788926644394,5402.027039887084,NaN
run_00CGPQte,derivmatch,68,341.29366960037663,5397.187382453287,NaN
run_00CGPQte,derivmatch,69,350.4866708075256,5390.675664250433,NaN
run_00CGPQte,derivmatch,70,396.19170295840127,6033.238608819032,NaN
run_00CGPQte,derivmatch,71,328.8482165167619,4980.633986967056,NaN
run_00CGPQte,derivmatch,72,262.270757892959,3975.224887573257,NaN
run_00CGPQte,derivmatch,73,243.4781356507942,3695.8986537018636,NaN
run_00CGPQte,derivmatch,74,239.8638351513594,3642.2607132813287,NaN
run_00CGPQte,derivmatch,75,239.46148424584055,3636.0052819541675,NaN
run_00CGPQte,derivmatch,76,239.44072003127764,3635.2269864057143,NaN
run_00CGPQte,derivmatch,77,239.44704668925846,3634.5383490036593,NaN
run_00CGPQte,derivmatch,78,239.4575405101355,3633.473984779759,NaN
run_00CGPQte,derivmatch,79,239.47613514346955,3631.717990117139,NaN
run_00CGPQte,derivmatch,80,239.51045949487485,3628.4990516377925,NaN
run_00CGPQte,derivmatch,81,239.59092384677703,3621.185550127296,NaN
run_00CGPQte,derivmatch,82,239.86324620601317,3598.475893389329,NaN
run_00CGPQte,derivmatch,83,240.81961812067036,3534.0984772452516,NaN
run_00CGPQte,derivmatch,84,242.12441261280827,3464.996027007836,NaN
run_00CGPQte,derivmatch,85,244.12492432848512,3373.462997358563,NaN
run_00CGPQte,derivmatch,86,246.82396796367428,3231.543480278991,NaN
run_00CGPQte,derivmatch,87,247.0397719648946,3034.2552228064046,NaN
run_00CGPQte,derivmatch,88,237.96922000264962,2729.302357649594,NaN
run_00CGPQte,derivmatch,89,208.19012542766887,2249.4524895570785,NaN
run_00CGPQte,derivmatch,90,141.45954592133847,1538.1025576147833,NaN
run_00CGPQte,derivmatch,91,33.26557695164878,869.4570682563702,NaN
run_00CGPQte,derivmatch,92,45.166209036765125,874.4329980308313,NaN
run_00CGPQte,derivmatch,93,57.61428395945859,880.8812074018911,NaN
run_00CGPQte,derivmatch,94,33.95768743369221,749.5719854675799,NaN
run_00CGPQte,derivmatch,95,9.40497546432005,673.071256605263,NaN
run_00CGPQte,derivmatch,96,2.1230161852102043,647.433489918306,NaN
run_00CGPQte,derivmatch,97,1.3595965374079673,629.5409303625174,NaN
run_00CGPQte,derivmatch,98,1.7219911663010559,605.7046325670259,NaN
run_00CGPQte,derivmatch,99,1.488160161006387,592.2376551482565,NaN
run_00CGPQte,derivmatch,100,1.036283842399434,571.6574934987204,NaN
run_00CGPQte,derivmatch,101,1.1863685376572217,553.9180031879387,NaN
run_00CGPQte,derivmatch,102,1.6002165947632272,543.719830432246,NaN
run_00CGPQte,derivmatch,103,2.19340780406214,533.2643824873165,NaN
run_00CGPQte,derivmatch,104,2.9083508171301053,523.8825134796593,NaN
run_00CGPQte,derivmatch,105,3.7034508875707832,515.7076843761519,NaN
run_00CGPQte,derivmatch,106,4.521146631687779,508.65873345810417,NaN
run_00CGPQte,derivmatch,107,5.211956914680587,502.79663365428047,NaN
run_00CGPQte,derivmatch,108,5.403537273542469,498.4813784587781,NaN
run_00CGPQte,derivmatch,109,4.144991411899966,496.5344982809498,NaN
run_00CGPQte,derivmatch,110,7.194743114332138,509.9685253707515,NaN
run_00CGPQte,derivmatch,111,45.05383815077519,744.2013279385507,NaN
run_00CGPQte,derivmatch,112,23.411064588934607,800.9820543365427,NaN
run_00CGPQte,derivmatch,113,9.587674301116206,765.1066306341824,NaN
run_00CGPQte,derivmatch,114,9.903382750473327,2648.573804587162,NaN
run_00CGPQte,derivmatch,115,41.548111204722346,3917.772842435365,NaN
run_00CGPQte,derivmatch,116,72.1704889962611,5116.324657271498,NaN
run_00CGPQte,derivmatch,117,50.10950046921515,8526.786072225012,NaN
run_00CGPQte,derivmatch,118,80.33910402673301,12407.050767707964,NaN
run_00CGPQte,derivmatch,119,50.55090647278402,13729.31479146678,NaN
run_00CGPQte,derivmatch,120,83.71257310424275,7106.989958645013,NaN
run_00CGPQte,derivmatch,121,69.66371221511369,8762.812882319515,NaN
run_00CGPQte,derivmatch,122,96.93229825360301,175696.52397490724,NaN
run_00CGPQte,derivmatch,123,135.3791840664813,384028.60791898816,NaN
run_00CGPQte,derivmatch,124,133.77563882280774,351458.5226730681,NaN
run_00CGPQte,derivmatch,125,95.99787529949481,106347.6432831125,NaN
run_00CGPQte,derivmatch,126,259.2999409174239,20506.186516518304,NaN
run_00CGPQte,derivmatch,127,323.5174580187361,7357.582827533041,NaN
run_00CGPQte,derivmatch,128,382.9237890130307,6618.410740533273,NaN
run_00CGPQte,derivmatch,129,260.13676790877685,2392.637329494956,NaN
run_00CGPQte,derivmatch,130,377.8430235546618,2426.4270799604565,NaN
run_00CGPQte,derivmatch,131,354.7237035377429,1753.713836100401,NaN
run_00CGPQte,derivmatch,132,266.21596031651086,1102.1141284891062,NaN
run_00CGPQte,derivmatch,133,414.6575221208477,1682.399596625188,NaN
run_00CGPQte,derivmatch,134,331.3099924198462,1472.1191252561675,NaN
run_00CGPQte,derivmatch,135,266.05217750475936,1327.9256357620525,NaN
run_00CGPQte,derivmatch,136,246.2166282497429,1295.430698360301,NaN
run_00CGPQte,derivmatch,137,241.98538287693677,1289.216418170163,NaN
run_00CGPQte,derivmatch,138,241.21220958893502,1288.0752125297079,NaN
run_00CGPQte,derivmatch,139,240.95589133579443,1287.6583626615584,NaN
run_00CGPQte,derivmatch,140,240.62879257732172,1287.1120818124668,NaN
run_00CGPQte,derivmatch,141,240.04919011107728,1286.147845002464,NaN
run_00CGPQte,derivmatch,142,238.9137973721567,1284.2764273126286,NaN
run_00CGPQte,derivmatch,143,235.47888490674674,1278.7553211857462,NaN
run_00CGPQte,derivmatch,144,225.4192444173676,1263.783484099509,NaN
run_00CGPQte,derivmatch,145,191.98573644680988,1225.2563578251556,NaN
run_00CGPQte,derivmatch,146,168.11548892708998,1197.8234069027556,NaN
run_00CGPQte,derivmatch,147,165.42286724267268,1158.9523105013025,NaN
run_00CGPQte,derivmatch,148,206.4852705330395,1072.6733232657948,NaN
run_00CGPQte,derivmatch,149,214.73912410981703,1009.435018416956,NaN
run_00CGPQte,derivmatch,150,194.1041535841192,860.3193424259459,NaN
run_00CGPQte,derivmatch,151,178.36453870632565,768.7877135691806,NaN
run_00CGPQte,shooting,1,145.68124217035987,543.5268937504383,NaN
run_00CGPQte,shooting,2,130.13380419450547,494.2619569665708,NaN
run_00CGPQte,shooting,3,127.26767687949588,486.1531125039927,NaN
run_00CGPQte,shooting,4,125.99416904994943,482.64012535066433,NaN
run_00CGPQte,shooting,5,125.7445321408938,481.94046654908647,NaN
run_00CGPQte,shooting,6,125.6625649289404,481.6846395705808,NaN
run_00CGPQte,shooting,7,125.59468356928231,481.4538512738647,NaN
run_00CGPQte,shooting,8,125.48197047149057,481.06823562958925,NaN
run_00CGPQte,shooting,9,125.2666081973342,480.33193439396837,NaN
run_00CGPQte,shooting,10,124.79729557077349,478.7301421682688,NaN
