t,lambda1_true,lambda2_true,lambda1_learned,lambda2_learned,is_train
0.0,299.9966666296288,0.0033333703711946328,290.6811831756396,0.00502749929211177,1.0
0.004725771250047889,299.99752509517197,0.0033968993181474616,289.43086809856095,0.002821428098684464,1.0
0.008196634570648946,299.99106223144133,0.00479332179912717,289.1549955313734,0.004469396920228519,1.0
0.01409319806776235,299.97660090092677,0.005424919524500638,289.01800893544475,0.005216981807393495,1.0
0.0205758763196155,299.9595381523225,0.0055374461649648765,288.9795577362241,0.0053504685444067945,1.0
0.03033369765832203,299.93355286483956,0.005555966514805277,288.9508635201888,0.005372702160684639,1.0
0.04388531711626388,299.89741638993354,0.0055580456573238735,288.9155883102725,0.005375570840385535,1.0
0.06716055072684812,299.835344747753,0.005559700603726014,288.8553721758282,0.005378227847813832,1.0
0.11178082192735345,299.7163398667165,0.005562794383934033,288.73994579112593,0.00538322798632862,1.0
0.20954937705823706,299.45554405503924,0.0055695794177381686,288.4870170409205,0.005394190779441033,1.0
0.41945808033414095,298.895424307779,0.005584201654585286,287.94390429388733,0.005417790602223249,1.0
0.7876369860596237,297.9123407418014,0.005610034773496864,286.99103573891057,0.005459397014476508,1.0
1.3162333160935913,296.4994954623332,0.005647546539876203,285.622433080808,0.0055196136933659545,1.0
1.9885872758875505,294.6999542522067,0.005695997097916461,283.8806514508213,0.005597042916804185,1.0
2.8171521098027723,292.4790686609899,0.005756860894507554,281.733241019598,0.00569375782959014,1.0
3.344316192774593,291.06357994126535,0.005796295477523472,280.36585374375625,0.005756091367288718,1.0
4.486362185807343,287.9907201454709,0.005883530655978575,277.4008832869337,0.005893132401297407,1.0
5.6284081788400915,284.9093927788836,0.005973520751524575,274.43252341372926,0.006033211745773315,1.0
6.799438922864771,281.7408400346738,0.006068801559422354,271.38518803991053,0.0061801280493796185,1.0
9.46731300394923,274.4868108232723,0.006297521044928089,264.42834650826256,0.006527314139532336,1.0
13.723743434456843,262.80539391165047,0.00670065554663779,253.2841813901919,0.007121244983636643,1.0
19.27885033973058,247.33942768056363,0.00731200182249836,238.64332983515126,0.007982502184859186,1.0
25.419755949702754,229.91030970379967,0.008132883843643413,222.3005266114862,0.009075549897403334,1.0
32.72219295510629,208.64320816722847,0.009386764450113105,202.57707220947813,0.010635674018942609,1.0
40.34206792055274,185.67048285544072,0.011186794065025651,181.51565787918662,0.01271339520286574,1.0
47.97711169119414,161.60087623165614,0.013845515672443298,159.6612853127351,0.015571447131264904,1.0
55.612155461835535,136.06164490506296,0.018151036155245492,136.59503285529166,0.019935840849399256,1.0
61.968968256712614,113.13687854709015,0.024460174268710944,115.84299577622552,0.026099760721649545,1.0
65.14737465415115,100.84185502279487,0.02957823031086093,104.62345792626931,0.03102753617669407,1.0
69.84302449064631,81.12614497057814,0.042702455090207536,86.36884784075008,0.04358502836934974,1.0
72.99243526958523,66.29167117634368,0.06056901228882339,72.2913860820526,0.06065327256527553,1.0
74.6010905626912,57.910336251164225,0.07686080116640426,64.1468717938938,0.07623135575923357,1.0
75.75079997065934,51.4246442239476,0.09500490362363223,57.72105135291382,0.0936064142497699,1.0
77.11597352932317,42.94559932711857,0.13159179043434222,49.117922719443676,0.12873972622126928,1.0
77.79856030865508,38.25250133609803,0.1626123669301549,44.23691808430771,0.15863865778760555,1.0
78.70357040762126,31.31650054014603,0.23543575141660256,36.833620114252646,0.22923780181189812,1.0
79.37089529081224,25.3957452659213,0.348590470212919,30.30619657170674,0.33996550361655764,1.0
79.70455773240774,22.029643313855157,0.4560384328105478,26.504386302831513,0.4460028445260278,1.0
80.01209382984352,18.569556731642344,0.6315458317087561,22.53699859853129,0.6203202052816152,1.0
80.25810052408812,15.461132850813502,0.8986216142506116,18.949246677686354,0.8862505546748949,1.0
80.45094695453307,12.752566220871026,1.3099343162215344,15.85298026837976,1.2930086741231754,1.0
